"rank"	"attribute_group"	"attribute"	"attribute_auc"	"attribute_group_auc"
"aerophilicity_all"	"aerophilicity"	"aerobic"	0.89	0.87
"aerophilicity_all"	"aerophilicity"	"anaerobic"	0.95	0.87
"aerophilicity_all"	"aerophilicity"	"facultatively anaerobic"	0.77	0.87
"aerophilicity_gn"	"aerophilicity"	"aerobic"	0.9	0.85
"aerophilicity_gn"	"aerophilicity"	"anaerobic"	0.95	0.85
"aerophilicity_gn"	"aerophilicity"	"facultatively anaerobic"	0.71	0.85
"aerophilicity_sp"	"aerophilicity"	"aerobic"	0.89	0.88
"aerophilicity_sp"	"aerophilicity"	"anaerobic"	0.97	0.88
"aerophilicity_sp"	"aerophilicity"	"facultatively anaerobic"	0.77	0.88
"aerophilicity_st"	"aerophilicity"	"aerobic"	0.89	0.86
"aerophilicity_st"	"aerophilicity"	"anaerobic"	0.94	0.86
"aerophilicity_st"	"aerophilicity"	"facultatively anaerobic"	0.76	0.86
