"rank"	"attribute_group"	"attribute"	"attribute_auc"	"attribute_group_auc"
"arrangement_all"	"arrangement"	"branched"	0.53	0.66
"arrangement_all"	"arrangement"	"cell chain"	0.82	0.66
"arrangement_all"	"arrangement"	"cell cluster"	0.69	0.66
"arrangement_all"	"arrangement"	"filamentous"	0.68	0.66
"arrangement_all"	"arrangement"	"paired cells"	0.82	0.66
"arrangement_all"	"arrangement"	"palisade"	0.5	0.66
"arrangement_all"	"arrangement"	"rosettes"	0.75	0.66
"arrangement_all"	"arrangement"	"single"	0.62	0.66
"arrangement_all"	"arrangement"	"tetrads"	0.82	0.66
"arrangement_all"	"arrangement"	"unbranched"	0.5	0.66
"arrangement_all"	"arrangement"	"v-formation"	0.5	0.66
"arrangement_gn"	"arrangement"	"branched"	0.54	0.59
"arrangement_gn"	"arrangement"	"cell chain"	0.54	0.59
"arrangement_gn"	"arrangement"	"cell cluster"	0.59	0.59
"arrangement_gn"	"arrangement"	"paired cells"	0.56	0.59
"arrangement_gn"	"arrangement"	"palisade"	0.5	0.59
"arrangement_gn"	"arrangement"	"reverse Y-branched filaments"	0.5	0.59
"arrangement_gn"	"arrangement"	"rosettes"	1	0.59
"arrangement_gn"	"arrangement"	"single"	0.56	0.59
"arrangement_gn"	"arrangement"	"tetrads"	0.5	0.59
"arrangement_gn"	"arrangement"	"unbranched"	0.5	0.59
"arrangement_gn"	"arrangement"	"v-formation"	0.67	0.59
"arrangement_sp"	"arrangement"	"cell chain"	0.92	0.87
"arrangement_sp"	"arrangement"	"cell cluster"	0.9	0.87
"arrangement_sp"	"arrangement"	"filamentous"	0.73	0.87
"arrangement_sp"	"arrangement"	"paired cells"	0.88	0.87
"arrangement_sp"	"arrangement"	"single"	0.95	0.87
"arrangement_sp"	"arrangement"	"tetrads"	0.83	0.87
"arrangement_st"	"arrangement"	"branched"	0.48	0.76
"arrangement_st"	"arrangement"	"cell chain"	0.88	0.76
"arrangement_st"	"arrangement"	"cell cluster"	0.83	0.76
"arrangement_st"	"arrangement"	"paired cells"	0.93	0.76
"arrangement_st"	"arrangement"	"single"	0.7	0.76
"arrangement_st"	"arrangement"	"tetrads"	1	0.76
"arrangement_st"	"arrangement"	"v-formation"	0.49	0.76
