physiology	rank	method	attribute	mean	sd
aerophilicity	all	castor-ltp	aerobic	0.100556277063461	0.022826655274672
aerophilicity	all	castor-ltp	anaerobic	0.143530185724959	0.042638392906996
aerophilicity	all	castor-ltp	facultatively anaerobic	-0.0239954133650408	0.0176848618789296
aerophilicity	genus	castor-ltp	aerobic	-0.131153945059199	0.0853481016717529
aerophilicity	genus	castor-ltp	anaerobic	-0.0175306827518117	0.046628837724506
aerophilicity	genus	castor-ltp	facultatively anaerobic	-0.0273388181770191	0.0479356916638669
aerophilicity	species	castor-ltp	aerobic	0.075948330954098	0.0164771210385529
aerophilicity	species	castor-ltp	anaerobic	0.0544624076257227	0.0523638959716634
aerophilicity	species	castor-ltp	facultatively anaerobic	-0.0229178800020316	0.0148315089752968
aerophilicity	strain	castor-ltp	aerobic	-0.140154271305837	0.0715978582767749
aerophilicity	strain	castor-ltp	anaerobic	0.167325941853989	0.0869176027583402
aerophilicity	strain	castor-ltp	facultatively anaerobic	0.0088554784381747	0.073893832249677
