physiology	rank	method	attribute	mean	sd
gram stain	all	castor-ltp	gram stain negative	-0.294183953361428	0.0290770709217506
gram stain	all	castor-ltp	gram stain positive	-0.192650340291008	0.0228803664317822
gram stain	all	castor-ltp	gram stain variable	0.00775701764635717	0.0457588187587921
gram stain	genus	castor-ltp	gram stain negative	0.162266755061188	0.047209025763419
gram stain	genus	castor-ltp	gram stain positive	-0.0554012316015783	0.122760059495523
gram stain	genus	castor-ltp	gram stain variable	-0.00366556454342504	0.00778499326189092
gram stain	species	castor-ltp	gram stain negative	-0.073458046081109	0.0307955005025554
gram stain	species	castor-ltp	gram stain positive	-0.261838567113284	0.0192230173395347
gram stain	species	castor-ltp	gram stain variable	-0.00559626255599018	0.00198019618319335
gram stain	strain	castor-ltp	gram stain negative	0.113221616448668	0.0554933564824979
gram stain	strain	castor-ltp	gram stain positive	-0.0248248780314864	0.0758472874361086
gram stain	strain	castor-ltp	gram stain variable	0	0
