Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
bacillus	1511	1449	2960	1511	21520	23031
bent filament	5	0	5	5	23026	23031
clavate	9	2	11	9	23022	23031
coccobacillus	35	2	37	35	22996	23031
coccus	441	340	781	441	22590	23031
discoid	7	2	9	7	23024	23031
dumbbell-shaped	3	0	3	3	23028	23031
elliptic	109	13	122	109	22922	23031
filamentous	45	15	60	45	22986	23031
flat	5	0	5	5	23026	23031
pleiomorphic cell	83	6	89	83	22948	23031
polyhedral shape	1	0	1	1	23030	23031
rectangle	1	0	1	1	23030	23031
sigmoid	2	0	2	2	23029	23031
spirillum	96	106	202	96	22935	23031
staphylococcus	21	4	25	21	23010	23031
tail	15	19	34	15	23016	23031
tetrahedral	2	0	2	2	23029	23031
triangle	5	0	5	5	23026	23031
u-shaped	2	0	2	2	23029	23031
wrinkled	0	1	1	0	23031	23031
