physiology	rank	method	attribute	mean	sd
aerophilicity	all	phytools-ltp	aerobic	0.70776355840113	0.0187417583027854
aerophilicity	all	phytools-ltp	anaerobic	0.842460359750811	0.0150276326353863
aerophilicity	all	phytools-ltp	facultatively anaerobic	0.226527181768367	0.0635527451702415
aerophilicity	genus	phytools-ltp	aerobic	0.711918429838751	0.0451988171024291
aerophilicity	genus	phytools-ltp	anaerobic	0.713948330083497	0.038942387518458
aerophilicity	genus	phytools-ltp	facultatively anaerobic	0.496959610331872	0.0953675058450458
aerophilicity	species	phytools-ltp	aerobic	0.683081929750572	0.0316308894961606
aerophilicity	species	phytools-ltp	anaerobic	0.835550408905244	0.0295948399954313
aerophilicity	species	phytools-ltp	facultatively anaerobic	0.206766120709721	0.0676095099707053
aerophilicity	strain	phytools-ltp	aerobic	0.735293330785627	0.0706903067578105
aerophilicity	strain	phytools-ltp	anaerobic	0.832136754434197	0.0456219776706238
aerophilicity	strain	phytools-ltp	facultatively anaerobic	0.35339771438703	0.0727286957465593
