Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
branched	97	109	741	1568	23501	0.119	0.079
cell chain	219	448	741	1568	23501	0.119	0.079
cell cluster	97	130	741	1568	23501	0.119	0.079
filamentous	24	68	741	1568	23501	0.119	0.079
paired cells	376	775	741	1568	23501	0.119	0.079
palisade	3	4	741	1568	23501	0.119	0.079
reverse Y-branched filaments	2	3	741	1568	23501	0.119	0.079
rosettes	9	9	741	1568	23501	0.119	0.079
single	368	771	741	1568	23501	0.119	0.079
tetrads	28	44	741	1568	23501	0.119	0.079
unbranched	11	11	741	1568	23501	0.119	0.079
v-formation	8	9	741	1568	23501	0.119	0.079
