Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
branched	87	90	376	390	23501	0.133	0.086
cell chain	108	109	376	390	23501	0.133	0.086
cell cluster	70	73	376	390	23501	0.133	0.086
paired cells	193	194	376	390	23501	0.133	0.086
palisade	3	4	376	390	23501	0.133	0.086
reverse Y-branched filaments	2	3	376	390	23501	0.133	0.086
rosettes	9	9	376	390	23501	0.133	0.086
single	221	228	376	390	23501	0.133	0.086
tetrads	20	20	376	390	23501	0.133	0.086
unbranched	11	11	376	390	23501	0.133	0.086
v-formation	8	8	376	390	23501	0.133	0.086
