Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
bacillus	1511	2960	2045	3969	23501	0.071	0.051
bent filament	5	5	2045	3969	23501	0.071	0.051
clavate	9	11	2045	3969	23501	0.071	0.051
coccobacillus	35	37	2045	3969	23501	0.071	0.051
coccus	441	781	2045	3969	23501	0.071	0.051
discoid	7	9	2045	3969	23501	0.071	0.051
dumbbell-shaped	3	3	2045	3969	23501	0.071	0.051
elliptic	109	122	2045	3969	23501	0.071	0.051
filamentous	45	60	2045	3969	23501	0.071	0.051
flat	5	5	2045	3969	23501	0.071	0.051
pleiomorphic cell	83	89	2045	3969	23501	0.071	0.051
polyhedral shape	1	1	2045	3969	23501	0.071	0.051
rectangle	1	1	2045	3969	23501	0.071	0.051
sigmoid	2	2	2045	3969	23501	0.071	0.051
spirillum	96	202	2045	3969	23501	0.071	0.051
staphylococcus	21	25	2045	3969	23501	0.071	0.051
tail	15	34	2045	3969	23501	0.071	0.051
tetrahedral	2	2	2045	3969	23501	0.071	0.051
triangle	5	5	2045	3969	23501	0.071	0.051
u-shaped	2	2	2045	3969	23501	0.071	0.051
wrinkled	0	1	2045	3969	23501	0.071	0.051
