Attribute	ltp_bp	bp	ltp_bp_phys	bp_phys	ltp	nsti_mean	nsti_sd
bacillus	806	840	1113	1177	23501	0.088	0.058
bent filament	5	5	1113	1177	23501	0.088	0.058
clavate	9	11	1113	1177	23501	0.088	0.058
coccobacillus	35	37	1113	1177	23501	0.088	0.058
coccus	292	319	1113	1177	23501	0.088	0.058
discoid	7	9	1113	1177	23501	0.088	0.058
dumbbell-shaped	1	1	1113	1177	23501	0.088	0.058
elliptic	109	122	1113	1177	23501	0.088	0.058
filamentous	33	36	1113	1177	23501	0.088	0.058
flat	5	5	1113	1177	23501	0.088	0.058
pleiomorphic cell	83	89	1113	1177	23501	0.088	0.058
polyhedral shape	1	1	1113	1177	23501	0.088	0.058
rectangle	1	1	1113	1177	23501	0.088	0.058
sigmoid	2	2	1113	1177	23501	0.088	0.058
spirillum	53	59	1113	1177	23501	0.088	0.058
tetrahedral	2	2	1113	1177	23501	0.088	0.058
triangle	5	5	1113	1177	23501	0.088	0.058
u-shaped	2	2	1113	1177	23501	0.088	0.058
wrinkled	0	1	1113	1177	23501	0.088	0.058
