"rank"	"attribute_group"	"attribute"	"attribute_auc"	"attribute_group_auc"
"genome_size_all"	"genome_size"	"average (>=490886, <998123 base pair)"	0.95	0.89
"genome_size_all"	"genome_size"	"large (>=998124, <6997434 base pair)"	0.87	0.89
"genome_size_all"	"genome_size"	"small (<490885 base pair)"	0.87	0.89
"genome_size_all"	"genome_size"	"very large (>6997435 base pair)"	0.88	0.89
"genome_size_sp"	"genome_size"	"average (>=490886, <998123 base pair)"	0.86	0.76
"genome_size_sp"	"genome_size"	"large (>=998124, <6997434 base pair)"	0.78	0.76
"genome_size_sp"	"genome_size"	"small (<490885 base pair)"	0.5	0.76
"genome_size_sp"	"genome_size"	"very large (>6997435 base pair)"	0.92	0.76
"genome_size_st"	"genome_size"	"average (>=490886, <998123 base pair)"	0.98	0.93
"genome_size_st"	"genome_size"	"large (>=998124, <6997434 base pair)"	0.9	0.93
"genome_size_st"	"genome_size"	"very large (>6997435 base pair)"	0.91	0.93
