"rank"	"attribute_group"	"attribute"	"attribute_auc"	"attribute_group_auc"
"gram_stain_all"	"gram_stain"	"gram stain negative"	0.97	0.86
"gram_stain_all"	"gram_stain"	"gram stain positive"	0.95	0.86
"gram_stain_all"	"gram_stain"	"gram stain variable"	0.66	0.86
"gram_stain_gn"	"gram_stain"	"gram stain negative"	0.95	0.84
"gram_stain_gn"	"gram_stain"	"gram stain positive"	0.96	0.84
"gram_stain_gn"	"gram_stain"	"gram stain variable"	0.62	0.84
"gram_stain_sp"	"gram_stain"	"gram stain negative"	0.97	0.96
"gram_stain_sp"	"gram_stain"	"gram stain positive"	0.95	0.96
"gram_stain_sp"	"gram_stain"	"gram stain variable"	0.98	0.96
"gram_stain_st"	"gram_stain"	"gram stain negative"	0.97	0.83
"gram_stain_st"	"gram_stain"	"gram stain positive"	0.94	0.83
"gram_stain_st"	"gram_stain"	"gram stain variable"	0.58	0.83
