"rank"	"attribute_group"	"attribute"	"attribute_auc"	"attribute_group_auc"
"growth_medium_all"	"growth_medium"	"artificial_seawater"	0.5	0.54
"growth_medium_all"	"growth_medium"	"asp-2"	0.47	0.54
"growth_medium_all"	"growth_medium"	"bg11"	0.88	0.54
"growth_medium_all"	"growth_medium"	"DSMZ_Medium_1000"	0.5	0.54
"growth_medium_all"	"growth_medium"	"heart_infusion_agar"	0.5	0.54
"growth_medium_all"	"growth_medium"	"modified_shieh_agar"	0.5	0.54
"growth_medium_all"	"growth_medium"	"pyg_medium"	0.5	0.54
"growth_medium_all"	"growth_medium"	"tryptic_soy_agar"	0.5	0.54
"growth_medium_all"	"growth_medium"	"ZoBell_marine_agar"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"5%_salts"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"artificial_seawater"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"asp-2"	0.49	0.54
"growth_medium_sp"	"growth_medium"	"bg11"	1	0.54
"growth_medium_sp"	"growth_medium"	"DSMZ_Medium_1000"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"gse"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"heart_infusion_agar"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"lb_agar"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"modified_shieh_agar"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"nutrient_broth"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"pyg_medium"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"tryptic_soy_agar"	0.5	0.54
"growth_medium_sp"	"growth_medium"	"ZoBell_marine_agar"	0.5	0.54
