"rank"	"attribute_group"	"attribute"	"attribute_auc"	"attribute_group_auc"
"arrangement_all"	"arrangement"	"branched"	0.53	0.58
"arrangement_all"	"arrangement"	"cell_chain"	0.5	0.58
"arrangement_all"	"arrangement"	"cell_cluster"	0.5	0.58
"arrangement_all"	"arrangement"	"filamentous"	0.68	0.58
"arrangement_all"	"arrangement"	"paired_cells"	0.5	0.58
"arrangement_all"	"arrangement"	"palisade"	0.5	0.58
"arrangement_all"	"arrangement"	"rosettes"	0.75	0.58
"arrangement_all"	"arrangement"	"single"	0.62	0.58
"arrangement_all"	"arrangement"	"tetrads"	0.82	0.58
"arrangement_all"	"arrangement"	"unbranched"	0.5	0.58
"arrangement_all"	"arrangement"	"v-formation"	0.5	0.58
"arrangement_gn"	"arrangement"	"branched"	0.54	0.57
"arrangement_gn"	"arrangement"	"cell_chain"	0.5	0.57
"arrangement_gn"	"arrangement"	"cell_cluster"	0.5	0.57
"arrangement_gn"	"arrangement"	"paired_cells"	0.5	0.57
"arrangement_gn"	"arrangement"	"palisade"	0.5	0.57
"arrangement_gn"	"arrangement"	"reverse_Y-branched_filaments"	0.5	0.57
"arrangement_gn"	"arrangement"	"rosettes"	1	0.57
"arrangement_gn"	"arrangement"	"single"	0.56	0.57
"arrangement_gn"	"arrangement"	"tetrads"	0.5	0.57
"arrangement_gn"	"arrangement"	"unbranched"	0.5	0.57
"arrangement_gn"	"arrangement"	"v-formation"	0.67	0.57
"arrangement_sp"	"arrangement"	"cell_chain"	0.5	0.67
"arrangement_sp"	"arrangement"	"cell_cluster"	0.5	0.67
"arrangement_sp"	"arrangement"	"filamentous"	0.73	0.67
"arrangement_sp"	"arrangement"	"paired_cells"	0.5	0.67
"arrangement_sp"	"arrangement"	"single"	0.95	0.67
"arrangement_sp"	"arrangement"	"tetrads"	0.83	0.67
"arrangement_st"	"arrangement"	"branched"	0.48	0.6
"arrangement_st"	"arrangement"	"cell_chain"	0.5	0.6
"arrangement_st"	"arrangement"	"cell_cluster"	0.5	0.6
"arrangement_st"	"arrangement"	"paired_cells"	0.5	0.6
"arrangement_st"	"arrangement"	"single"	0.7	0.6
"arrangement_st"	"arrangement"	"tetrads"	1	0.6
"arrangement_st"	"arrangement"	"v-formation"	0.49	0.6
