"rank"	"attribute_group"	"attribute"	"attribute_auc"	"attribute_group_auc"
"growth_temperature_all"	"growth_temperature"	"hyperthermophile_(>61_Celcius)"	0.5	0.5
"growth_temperature_all"	"growth_temperature"	"mesophile_(>=25,_<45_Celcius)"	0.5	0.5
"growth_temperature_all"	"growth_temperature"	"psychrophile_(<24.9_Celcius)"	0.5	0.5
"growth_temperature_all"	"growth_temperature"	"thermophile_(>=46,_<60_Celcius)"	0.5	0.5
"growth_temperature_sp"	"growth_temperature"	"hyperthermophile_(>61_Celcius)"	0.5	0.5
"growth_temperature_sp"	"growth_temperature"	"mesophile_(>=25,_<45_Celcius)"	0.5	0.5
"growth_temperature_sp"	"growth_temperature"	"psychrophile_(<24.9_Celcius)"	0.5	0.5
"growth_temperature_sp"	"growth_temperature"	"thermophile_(>=46,_<60_Celcius)"	0.5	0.5
"growth_temperature_st"	"growth_temperature"	"hyperthermophile_(>61_Celcius)"	0.5	0.5
"growth_temperature_st"	"growth_temperature"	"mesophile_(>=25,_<45_Celcius)"	0.5	0.5
"growth_temperature_st"	"growth_temperature"	"psychrophile_(<24.9_Celcius)"	0.5	0.5
"growth_temperature_st"	"growth_temperature"	"thermophile_(>=46,_<60_Celcius)"	0.5	0.5
