"rank"	"attribute_group"	"attribute"	"attribute_auc"	"attribute_group_auc"
"spore_shape_all"	"spore_shape"	"bacillus"	0.5	0.51
"spore_shape_all"	"spore_shape"	"coccus"	0.49	0.51
"spore_shape_all"	"spore_shape"	"elliptic"	0.46	0.51
"spore_shape_all"	"spore_shape"	"endospore"	0.6	0.51
"spore_shape_all"	"spore_shape"	"sigmoid"	0.5	0.51
"spore_shape_gn"	"spore_shape"	"bacillus"	0.48	0.47
"spore_shape_gn"	"spore_shape"	"coccus"	0.48	0.47
"spore_shape_gn"	"spore_shape"	"elliptic"	0.47	0.47
"spore_shape_gn"	"spore_shape"	"endospore"	0.42	0.47
"spore_shape_gn"	"spore_shape"	"spirillum"	0.5	0.47
