Physiology	Rank	Fold	Attribute	TP	FP	FN	TN	MCC
COGEM_pathogenicity_rating	all	Fold1	COGEM pathogenicity rating 1	47	0	5	52	0.9080536347093006
COGEM_pathogenicity_rating	all	Fold1	COGEM pathogenicity rating 2	44	0	2	58	0.961580824038947
COGEM_pathogenicity_rating	all	Fold1	COGEM pathogenicity rating 3	4	0	2	98	0.8082903768654761
COGEM_pathogenicity_rating	all	Fold10	COGEM pathogenicity rating 1	44	0	7	52	0.8720008659033877
COGEM_pathogenicity_rating	all	Fold10	COGEM pathogenicity rating 2	43	0	6	54	0.8887046294283308
COGEM_pathogenicity_rating	all	Fold10	COGEM pathogenicity rating 3	1	0	2	100	0.5716619504750294
COGEM_pathogenicity_rating	all	Fold2	COGEM pathogenicity rating 1	51	0	9	44	0.8400359381350839
COGEM_pathogenicity_rating	all	Fold2	COGEM pathogenicity rating 2	38	0	4	62	0.9219153160284571
COGEM_pathogenicity_rating	all	Fold2	COGEM pathogenicity rating 3	1	0	1	102	0.7036658518558089
COGEM_pathogenicity_rating	all	Fold3	COGEM pathogenicity rating 1	41	0	3	60	0.9420434636713358
COGEM_pathogenicity_rating	all	Fold3	COGEM pathogenicity rating 2	55	0	4	45	0.9252595062607989
COGEM_pathogenicity_rating	all	Fold3	COGEM pathogenicity rating 3	1	0	0	103	1
COGEM_pathogenicity_rating	all	Fold4	COGEM pathogenicity rating 1	48	0	4	52	0.9258200997725515
COGEM_pathogenicity_rating	all	Fold4	COGEM pathogenicity rating 2	44	0	3	57	0.9430597553324284
COGEM_pathogenicity_rating	all	Fold4	COGEM pathogenicity rating 3	3	0	2	99	0.7668890479601258
COGEM_pathogenicity_rating	all	Fold5	COGEM pathogenicity rating 1	47	0	4	53	0.9256873904417416
COGEM_pathogenicity_rating	all	Fold5	COGEM pathogenicity rating 2	45	0	3	56	0.9433082785996189
COGEM_pathogenicity_rating	all	Fold5	COGEM pathogenicity rating 3	5	0	0	99	1
COGEM_pathogenicity_rating	all	Fold6	COGEM pathogenicity rating 1	42	0	3	59	0.9424287999688639
COGEM_pathogenicity_rating	all	Fold6	COGEM pathogenicity rating 2	55	0	0	49	1
COGEM_pathogenicity_rating	all	Fold6	COGEM pathogenicity rating 3	4	0	0	100	1
COGEM_pathogenicity_rating	all	Fold7	COGEM pathogenicity rating 1	47	0	4	52	0.9250634015670318
COGEM_pathogenicity_rating	all	Fold7	COGEM pathogenicity rating 2	47	0	4	52	0.9250634015670318
COGEM_pathogenicity_rating	all	Fold7	COGEM pathogenicity rating 3	1	0	0	102	1
