Attribute_group	Rank	Fold	Attribute	mcc
aerophilicity	all	Fold1	aerobic	0.8955068693907168
aerophilicity	all	Fold1	anaerobic	0.9480948306437041
aerophilicity	all	Fold1	facultatively.anaerobic	0.7237468644557459
aerophilicity	all	Fold10	aerobic	0.9121981125549067
aerophilicity	all	Fold10	anaerobic	0.9198342418580354
aerophilicity	all	Fold10	facultatively.anaerobic	0.7857125172161703
aerophilicity	all	Fold2	aerobic	0.9129738473034439
aerophilicity	all	Fold2	anaerobic	0.9411621245564762
aerophilicity	all	Fold2	facultatively.anaerobic	0.7175969206806094
aerophilicity	all	Fold3	aerobic	0.932238764857221
aerophilicity	all	Fold3	anaerobic	0.9313177667390699
aerophilicity	all	Fold3	facultatively.anaerobic	0.7709133705015645
aerophilicity	all	Fold4	aerobic	0.9233938476050481
aerophilicity	all	Fold4	anaerobic	0.9424731989824435
aerophilicity	all	Fold4	facultatively.anaerobic	0.676012258954988
aerophilicity	all	Fold5	aerobic	0.9165364490842686
aerophilicity	all	Fold5	anaerobic	0.9445367488064866
aerophilicity	all	Fold5	facultatively.anaerobic	0.7893386122284193
aerophilicity	all	Fold6	aerobic	0.8880569583592723
aerophilicity	all	Fold6	anaerobic	0.9616718360901626
aerophilicity	all	Fold6	facultatively.anaerobic	0.7754057548190838
aerophilicity	all	Fold7	aerobic	0.9200751685600854
aerophilicity	all	Fold7	anaerobic	0.9433069693756898
aerophilicity	all	Fold7	facultatively.anaerobic	0.7350187204434276
aerophilicity	all	Fold8	aerobic	0.9344568085160556
aerophilicity	all	Fold8	anaerobic	0.9470594412508607
aerophilicity	all	Fold8	facultatively.anaerobic	0.7854211877692769
aerophilicity	all	Fold9	aerobic	0.9235240406540631
aerophilicity	all	Fold9	anaerobic	0.9248959367293941
aerophilicity	all	Fold9	facultatively.anaerobic	0.7578227877792834
aerophilicity	species	Fold1	aerobic	0.8955068693907168
aerophilicity	species	Fold1	anaerobic	0.9480948306437041
aerophilicity	species	Fold1	facultatively.anaerobic	0.7237468644557459
aerophilicity	species	Fold10	aerobic	0.9121981125549067
aerophilicity	species	Fold10	anaerobic	0.9198342418580354
aerophilicity	species	Fold10	facultatively.anaerobic	0.7857125172161703
aerophilicity	species	Fold2	aerobic	0.9129738473034439
aerophilicity	species	Fold2	anaerobic	0.9411621245564762
aerophilicity	species	Fold2	facultatively.anaerobic	0.7175969206806094
aerophilicity	species	Fold3	aerobic	0.932238764857221
aerophilicity	species	Fold3	anaerobic	0.9313177667390699
aerophilicity	species	Fold3	facultatively.anaerobic	0.7709133705015645
aerophilicity	species	Fold4	aerobic	0.9233938476050481
aerophilicity	species	Fold4	anaerobic	0.9424731989824435
aerophilicity	species	Fold4	facultatively.anaerobic	0.676012258954988
aerophilicity	species	Fold5	aerobic	0.9165364490842686
aerophilicity	species	Fold5	anaerobic	0.9445367488064866
aerophilicity	species	Fold5	facultatively.anaerobic	0.7893386122284193
aerophilicity	species	Fold6	aerobic	0.8880569583592723
aerophilicity	species	Fold6	anaerobic	0.9616718360901626
aerophilicity	species	Fold6	facultatively.anaerobic	0.7754057548190838
aerophilicity	species	Fold7	aerobic	0.9200751685600854
aerophilicity	species	Fold7	anaerobic	0.9433069693756898
aerophilicity	species	Fold7	facultatively.anaerobic	0.7350187204434276
aerophilicity	species	Fold8	aerobic	0.9344568085160556
aerophilicity	species	Fold8	anaerobic	0.9470594412508607
aerophilicity	species	Fold8	facultatively.anaerobic	0.7854211877692769
aerophilicity	species	Fold9	aerobic	0.9235240406540631
aerophilicity	species	Fold9	anaerobic	0.9248959367293941
aerophilicity	species	Fold9	facultatively.anaerobic	0.7578227877792834
