Physiology	Rank	Fold	Attribute	TP	FP	FN	TN	MCC
arrangement	all	Fold1	branched	5	0	7	145	0.6304586189239058
arrangement	all	Fold1	cell chain	40	0	12	105	0.8308641921035719
arrangement	all	Fold1	cell cluster	9	0	7	141	0.7320486802599061
arrangement	all	Fold1	filamentous	4	0	2	151	0.811142447241405
arrangement	all	Fold1	paired cells	60	0	10	87	0.8767996430989459
arrangement	all	Fold1	reverse Y-branched filaments	0	0	1	156	0
arrangement	all	Fold1	rosettes	0	0	1	156	0
arrangement	all	Fold1	single	47	0	23	87	0.7287242009422776
arrangement	all	Fold1	tetrads	2	0	3	152	0.6263050890070502
arrangement	all	Fold1	unbranched	0	0	1	156	0
arrangement	all	Fold1	v-formation	0	0	1	156	0
arrangement	all	Fold10	branched	5	0	7	144	0.6303578296313004
arrangement	all	Fold10	cell chain	34	0	6	116	0.8989976203035663
arrangement	all	Fold10	cell cluster	4	0	6	146	0.6198471798078858
arrangement	all	Fold10	filamentous	3	0	7	146	0.5350462688440333
arrangement	all	Fold10	paired cells	53	0	15	88	0.8160301446823324
arrangement	all	Fold10	rosettes	0	0	1	155	0
arrangement	all	Fold10	single	50	0	21	85	0.7514712295022337
arrangement	all	Fold10	tetrads	5	0	2	149	0.839538549649839
arrangement	all	Fold10	unbranched	0	0	2	154	0
arrangement	all	Fold2	branched	2	0	8	147	0.4355197117867786
arrangement	all	Fold2	cell chain	28	0	14	115	0.7709184428187175
arrangement	all	Fold2	cell cluster	10	0	4	143	0.8335762522521596
arrangement	all	Fold2	filamentous	4	0	2	151	0.811142447241405
arrangement	all	Fold2	paired cells	59	0	18	80	0.7908836526490887
arrangement	all	Fold2	palisade	0	0	1	156	0
arrangement	all	Fold2	reverse Y-branched filaments	0	0	1	156	0
arrangement	all	Fold2	rosettes	0	0	1	156	0
arrangement	all	Fold2	single	76	0	11	70	0.8688677554076426
arrangement	all	Fold2	tetrads	1	0	1	155	0.7048367696104338
arrangement	all	Fold2	unbranched	0	0	3	154	0
arrangement	all	Fold2	v-formation	0	0	1	156	0
arrangement	all	Fold3	branched	3	0	8	146	0.5084875831286206
arrangement	all	Fold3	cell chain	30	0	11	116	0.8175151942072677
arrangement	all	Fold3	cell cluster	3	0	8	146	0.5084875831286206
arrangement	all	Fold3	filamentous	9	0	0	148	1
arrangement	all	Fold3	paired cells	63	0	20	74	0.7730065281356776
arrangement	all	Fold3	single	58	0	28	71	0.6954667129275331
arrangement	all	Fold3	tetrads	0	0	3	154	0
arrangement	all	Fold4	branched	2	0	5	150	0.5258304820496189
arrangement	all	Fold4	cell chain	32	0	15	110	0.7740471149550348
arrangement	all	Fold4	cell cluster	6	0	7	144	0.6634324674133272
arrangement	all	Fold4	filamentous	1	0	0	156	1
arrangement	all	Fold4	paired cells	68	0	15	74	0.8253464102423658
arrangement	all	Fold4	reverse Y-branched filaments	0	0	1	156	0
arrangement	all	Fold4	rosettes	0	0	1	156	0
arrangement	all	Fold4	single	70	0	13	74	0.846966449919859
arrangement	all	Fold4	tetrads	2	0	0	155	1
arrangement	all	Fold4	v-formation	0	0	1	156	0
arrangement	all	Fold5	branched	3	0	5	149	0.6023492967744507
arrangement	all	Fold5	cell chain	35	0	12	110	0.8194104919012688
arrangement	all	Fold5	cell cluster	10	0	3	144	0.8680623146431428
arrangement	all	Fold5	filamentous	6	0	2	149	0.8602710184387028
arrangement	all	Fold5	paired cells	65	0	21	71	0.7637350347048324
arrangement	all	Fold5	palisade	0	0	2	155	0
arrangement	all	Fold5	rosettes	0	0	1	156	0
arrangement	all	Fold5	single	54	0	21	82	0.7571022939439199
arrangement	all	Fold5	tetrads	2	0	0	155	1
arrangement	all	Fold5	v-formation	0	0	1	156	0
arrangement	all	Fold6	branched	2	0	10	145	0.39485944144039875
arrangement	all	Fold6	cell chain	27	0	10	120	0.8207293546575958
arrangement	all	Fold6	cell cluster	2	0	7	148	0.4606369285329992
arrangement	all	Fold6	filamentous	4	0	1	152	0.8914994345651968
arrangement	all	Fold6	paired cells	57	0	15	85	0.8203149801549809
arrangement	all	Fold6	rosettes	0	0	2	155	0
arrangement	all	Fold6	single	61	0	21	75	0.7623475457347553
arrangement	all	Fold6	tetrads	3	0	3	151	0.7001855041771003
arrangement	all	Fold6	unbranched	0	0	1	156	0
arrangement	all	Fold6	v-formation	0	0	1	156	0
arrangement	all	Fold7	branched	3	0	7	147	0.5351295510095069
arrangement	all	Fold7	cell chain	35	0	13	109	0.807136035148334
arrangement	all	Fold7	cell cluster	5	0	12	140	0.5204784652772269
arrangement	all	Fold7	filamentous	3	0	2	152	0.7695503831509618
arrangement	all	Fold7	paired cells	62	0	20	75	0.7726054148697171
arrangement	all	Fold7	palisade	0	0	1	156	0
arrangement	all	Fold7	rosettes	0	0	1	156	0
arrangement	all	Fold7	single	49	0	23	85	0.7318623012449399
arrangement	all	Fold7	tetrads	3	0	5	149	0.6023492967744507
arrangement	all	Fold7	unbranched	0	0	2	155	0
arrangement	all	Fold8	branched	1	0	15	141	0.23767705950592838
arrangement	all	Fold8	cell chain	32	0	14	111	0.7859638225992228
arrangement	all	Fold8	cell cluster	8	0	5	144	0.7711900705633257
arrangement	all	Fold8	filamentous	7	0	2	148	0.8760179264189788
arrangement	all	Fold8	paired cells	59	0	16	82	0.8113145459789358
arrangement	all	Fold8	rosettes	0	0	1	156	0
arrangement	all	Fold8	single	57	0	12	88	0.8526174533394976
arrangement	all	Fold8	tetrads	3	0	4	150	0.646095738380922
arrangement	all	Fold8	v-formation	0	0	4	153	0
arrangement	all	Fold9	branched	3	0	8	145	0.5083965215979604
arrangement	all	Fold9	cell chain	39	0	9	108	0.8660254037844386
arrangement	all	Fold9	cell cluster	4	0	10	142	0.5166403906326746
arrangement	all	Fold9	filamentous	8	0	1	147	0.9396184772996341
arrangement	all	Fold9	paired cells	68	0	11	77	0.8678505383774474
arrangement	all	Fold9	single	60	0	16	80	0.8111071056538127
arrangement	all	Fold9	tetrads	1	0	1	154	0.70482210063844275
arrangement	all	Fold9	unbranched	0	0	2	154	0
arrangement	genus	Fold1	branched	6	0	4	29	0.7261354744623948
arrangement	genus	Fold1	cell chain	0	0	11	28	0
arrangement	genus	Fold1	cell cluster	2	0	6	31	0.45766741140205675
arrangement	genus	Fold1	paired cells	2	0	16	21	0.2511236011669613
arrangement	genus	Fold1	reverse Y-branched filaments	0	0	1	38	0
arrangement	genus	Fold1	single	16	0	1	22	0.948818082919852
arrangement	genus	Fold1	tetrads	0	0	2	37	0
arrangement	genus	Fold1	unbranched	0	0	1	38	0
arrangement	genus	Fold1	v-formation	0	0	1	38	0
arrangement	genus	Fold10	branched	4	0	6	29	0.5756983337031395
arrangement	genus	Fold10	cell chain	0	0	10	29	0
arrangement	genus	Fold10	cell cluster	2	0	7	30	0.42447635997800887
arrangement	genus	Fold10	paired cells	4	0	12	23	0.4053217416888888
arrangement	genus	Fold10	rosettes	1	0	2	36	0.5619514869490164
arrangement	genus	Fold10	single	13	0	7	19	0.689202437604511
arrangement	genus	Fold10	tetrads	0	0	2	37	0
arrangement	genus	Fold10	unbranched	0	0	1	38	0
arrangement	genus	Fold10	v-formation	0	0	4	35	0
arrangement	genus	Fold2	branched	5	0	3	31	0.7548860451594469
arrangement	genus	Fold2	cell chain	0	0	11	28	0
arrangement	genus	Fold2	cell cluster	0	0	8	31	0
arrangement	genus	Fold2	paired cells	7	0	16	16	0.39009474880274697
arrangement	genus	Fold2	palisade	0	0	1	38	0
arrangement	genus	Fold2	reverse Y-branched filaments	0	0	1	38	0
arrangement	genus	Fold2	single	19	0	5	15	0.770551750371122
arrangement	genus	Fold2	tetrads	0	0	3	36	0
arrangement	genus	Fold2	unbranched	0	0	2	37	0
arrangement	genus	Fold2	v-formation	0	0	1	38	0
arrangement	genus	Fold3	branched	2	0	5	32	0.49709581280096005
arrangement	genus	Fold3	cell chain	1	0	12	26	0.22941573387056177
arrangement	genus	Fold3	cell cluster	0	0	5	34	0
arrangement	genus	Fold3	paired cells	9	0	16	14	0.4098780306383839
arrangement	genus	Fold3	rosettes	0	0	1	38	0
arrangement	genus	Fold3	single	24	0	2	13	0.894427190999916
arrangement	genus	Fold3	unbranched	0	0	1	38	0
arrangement	genus	Fold4	branched	8	0	5	26	0.7184212081070995
arrangement	genus	Fold4	cell chain	1	0	5	33	0.380442955126341
arrangement	genus	Fold4	cell cluster	1	0	5	33	0.380442955126341
arrangement	genus	Fold4	paired cells	6	0	14	19	0.41560470729681676
arrangement	genus	Fold4	rosettes	0	0	1	38	0
arrangement	genus	Fold4	single	25	0	2	12	0.890870806374748
arrangement	genus	Fold4	tetrads	0	0	1	38	0
arrangement	genus	Fold5	branched	6	0	7	26	0.6030226891555273
arrangement	genus	Fold5	cell chain	1	0	8	30	0.2961744388795462
arrangement	genus	Fold5	cell cluster	0	0	4	35	0
arrangement	genus	Fold5	paired cells	4	0	18	17	0.2971728256615808
arrangement	genus	Fold5	single	16	0	2	21	0.9008852329229017
arrangement	genus	Fold5	tetrads	0	0	2	37	0
arrangement	genus	Fold5	unbranched	0	0	4	35	0
arrangement	genus	Fold6	branched	4	0	2	33	0.7928249671720919
arrangement	genus	Fold6	cell chain	1	0	10	28	0.2588158533262875
arrangement	genus	Fold6	cell cluster	1	0	10	28	0.2588158533262875
arrangement	genus	Fold6	paired cells	6	0	12	21	0.4605661864718383
arrangement	genus	Fold6	palisade	0	0	1	38	0
arrangement	genus	Fold6	rosettes	0	0	1	38	0
arrangement	genus	Fold6	single	20	0	6	13	0.7254762501100117
arrangement	genus	Fold6	tetrads	0	0	3	36	0
arrangement	genus	Fold7	branched	6	0	1	32	0.9116846116771036
arrangement	genus	Fold7	cell chain	1	0	15	23	0.19449665130387478
arrangement	genus	Fold7	cell cluster	3	0	5	31	0.568257570707744
arrangement	genus	Fold7	paired cells	4	0	14	21	0.3651483716701107
arrangement	genus	Fold7	palisade	0	0	1	38	0
arrangement	genus	Fold7	reverse Y-branched filaments	0	0	1	38	0
arrangement	genus	Fold7	rosettes	1	0	1	37	0.6977407149243606
arrangement	genus	Fold7	single	17	0	3	19	0.8567910533443431
arrangement	genus	Fold7	tetrads	1	0	1	37	0.6977407149243606
arrangement	genus	Fold7	unbranched	0	0	1	38	0
arrangement	genus	Fold8	branched	4	0	3	32	0.7228063223242011
arrangement	genus	Fold8	cell chain	0	0	9	30	0
arrangement	genus	Fold8	cell cluster	2	0	8	29	0.3959251908590267
arrangement	genus	Fold8	paired cells	6	0	11	22	0.48507125007266594
arrangement	genus	Fold8	rosettes	0	0	1	38	0
arrangement	genus	Fold8	single	21	0	4	14	0.808290376865476
arrangement	genus	Fold8	tetrads	1	0	1	37	0.6977407149243606
arrangement	genus	Fold8	unbranched	0	0	1	38	0
arrangement	genus	Fold8	v-formation	1	0	0	38	1
arrangement	genus	Fold9	branched	5	0	4	30	0.7001400420140049
arrangement	genus	Fold9	cell chain	0	0	13	26	0
arrangement	genus	Fold9	cell cluster	1	0	3	35	0.47985743496869654
arrangement	genus	Fold9	paired cells	7	0	10	22	0.5320603680919278
arrangement	genus	Fold9	palisade	0	0	1	38	0
arrangement	genus	Fold9	single	21	0	4	14	0.808290376865476
arrangement	genus	Fold9	tetrads	0	0	3	36	0
arrangement	genus	Fold9	v-formation	0	0	1	38	0
arrangement	species	Fold1	cell chain	11	0	1	42	0.9462287446539036
arrangement	species	Fold1	cell cluster	1	0	0	53	1
arrangement	species	Fold1	filamentous	11	0	0	43	1
arrangement	species	Fold1	paired cells	30	0	1	23	0.963026144421173
arrangement	species	Fold1	single	3	0	1	50	0.8574929257125441
arrangement	species	Fold1	tetrads	1	0	0	53	1
arrangement	species	Fold10	cell chain	14	0	2	37	0.9111137169026736
arrangement	species	Fold10	cell cluster	1	0	0	52	1
arrangement	species	Fold10	filamentous	4	0	1	48	0.885253336275981
arrangement	species	Fold10	paired cells	37	0	1	15	0.9554208221346346
arrangement	species	Fold10	single	1	0	0	52	1
arrangement	species	Fold10	tetrads	4	0	0	49	1
arrangement	species	Fold2	cell chain	23	0	0	31	1
arrangement	species	Fold2	cell cluster	1	0	0	53	1
arrangement	species	Fold2	filamentous	6	0	0	48	1
arrangement	species	Fold2	paired cells	24	0	1	29	0.9633275663033837
arrangement	species	Fold2	single	2	0	1	51	0.8086075400626399
arrangement	species	Fold2	tetrads	3	0	0	51	1
arrangement	species	Fold3	cell chain	18	0	0	35	1
arrangement	species	Fold3	cell cluster	3	0	1	49	0.8573214099741123
arrangement	species	Fold3	filamentous	6	0	0	47	1
arrangement	species	Fold3	paired cells	33	0	1	19	0.9602389408524379
arrangement	species	Fold3	single	2	0	0	51	1
arrangement	species	Fold3	tetrads	1	0	0	52	1
arrangement	species	Fold4	cell chain	19	0	1	33	0.9602389408524379
arrangement	species	Fold4	cell cluster	2	0	0	51	1
arrangement	species	Fold4	filamentous	7	0	0	46	1
arrangement	species	Fold4	paired cells	35	0	0	18	1
arrangement	species	Fold4	tetrads	2	0	0	51	1
arrangement	species	Fold5	cell chain	18	0	1	34	0.9593230696067405
arrangement	species	Fold5	cell cluster	2	0	0	51	1
arrangement	species	Fold5	filamentous	6	0	0	47	1
arrangement	species	Fold5	paired cells	25	0	1	27	0.962911108149554
arrangement	species	Fold5	single	2	0	0	51	1
arrangement	species	Fold5	tetrads	3	0	0	50	1
arrangement	species	Fold6	cell chain	20	0	1	32	0.9609999602085962
arrangement	species	Fold6	cell cluster	6	0	0	47	1
arrangement	species	Fold6	filamentous	6	0	0	47	1
arrangement	species	Fold6	paired cells	26	0	4	23	0.8592273301858313
arrangement	species	Fold6	single	1	0	0	52	1
arrangement	species	Fold6	tetrads	2	0	0	51	1
arrangement	species	Fold7	cell chain	15	0	2	36	0.9142829500179354
arrangement	species	Fold7	cell cluster	1	0	1	51	0.7002746713858894
arrangement	species	Fold7	filamentous	8	0	0	45	1
arrangement	species	Fold7	paired cells	31	0	0	22	1
arrangement	species	Fold7	single	0	0	1	52	0
arrangement	species	Fold7	tetrads	0	0	1	52	0
arrangement	species	Fold8	cell chain	15	0	0	38	1
arrangement	species	Fold8	cell cluster	1	0	0	52	1
arrangement	species	Fold8	filamentous	5	0	0	48	1
arrangement	species	Fold8	paired cells	35	0	1	17	0.9582326839255745
arrangement	species	Fold8	single	0	0	1	52	0
arrangement	species	Fold8	tetrads	0	0	1	52	0
arrangement	species	Fold9	cell chain	11	0	2	40	0.8976975024254027
arrangement	species	Fold9	cell cluster	2	0	0	51	1
arrangement	species	Fold9	filamentous	6	0	1	46	0.9159179958249472
arrangement	species	Fold9	paired cells	33	0	3	17	0.8827041784576907
arrangement	species	Fold9	single	2	0	0	51	1
arrangement	strain	Fold1	branched	3	0	2	60	0.762000762001143
arrangement	strain	Fold1	cell chain	12	0	1	52	0.951661902861773
arrangement	strain	Fold1	cell cluster	2	0	2	61	0.6957923426763075
arrangement	strain	Fold1	paired cells	17	0	5	43	0.8320065194966013
arrangement	strain	Fold1	single	48	0	2	15	0.9203579866168445
arrangement	strain	Fold10	branched	1	0	0	63	1
arrangement	strain	Fold10	cell chain	17	0	4	43	0.860597563417467
arrangement	strain	Fold10	cell cluster	3	0	1	60	0.8588975014708023
arrangement	strain	Fold10	paired cells	11	0	5	48	0.7890763647670372
