Physiology	Rank	Fold	Attribute	TP	FP	FN	TN	MCC
gram_stain	all	Fold1	gram stain negative	336	0	22	273	0.931962506860513
gram_stain	all	Fold1	gram stain positive	248	0	13	370	0.9580916645425616
gram_stain	all	Fold1	gram stain variable	1	0	11	619	0.28614385696412714
gram_stain	all	Fold10	gram stain negative	381	0	14	235	0.9541094505760392
gram_stain	all	Fold10	gram stain positive	217	0	12	401	0.9592002565234088
gram_stain	all	Fold10	gram stain variable	1	0	7	622	0.3515805782756888
gram_stain	all	Fold2	gram stain negative	366	0	23	242	0.9269375764321621
gram_stain	all	Fold2	gram stain positive	214	0	19	398	0.9362728603410594
gram_stain	all	Fold2	gram stain variable	2	0	7	622	0.46877410436758504
gram_stain	all	Fold3	gram stain negative	382	0	20	228	0.9346741635498991
gram_stain	all	Fold3	gram stain positive	212	0	13	405	0.9554677704072918
gram_stain	all	Fold3	gram stain variable	1	0	2	627	0.5764316524276827
gram_stain	all	Fold4	gram stain negative	384	0	22	224	0.9280236649051865
gram_stain	all	Fold4	gram stain positive	207	0	9	414	0.9684747092264968
gram_stain	all	Fold4	gram stain variable	3	0	6	621	0.5745811871875518
gram_stain	all	Fold5	gram stain negative	363	0	15	252	0.9520331092974139
gram_stain	all	Fold5	gram stain positive	233	0	14	383	0.9539675838687149
gram_stain	all	Fold5	gram stain variable	3	0	5	622	0.6099258720352748
gram_stain	all	Fold6	gram stain negative	360	0	20	250	0.936585811581694
gram_stain	all	Fold6	gram stain positive	220	0	20	390	0.9337832829474916
gram_stain	all	Fold6	gram stain variable	2	0	10	618	0.40498486249920895
gram_stain	all	Fold7	gram stain negative	379	0	19	232	0.9381779049503157
gram_stain	all	Fold7	gram stain positive	215	0	12	403	0.9590357045029887
gram_stain	all	Fold7	gram stain variable	0	0	5	625	0
gram_stain	all	Fold8	gram stain negative	363	0	21	246	0.933253491100722
gram_stain	all	Fold8	gram stain positive	225	0	15	390	0.9501461875826149
gram_stain	all	Fold8	gram stain variable	0	0	7	623	0
gram_stain	all	Fold9	gram stain negative	378	0	15	237	0.9510941870665365
gram_stain	all	Fold9	gram stain positive	216	0	14	400	0.952560969574202
gram_stain	all	Fold9	gram stain variable	3	0	6	621	0.5745811871875518
gram_stain	genus	Fold1	gram stain negative	72	0	6	50	0.90784129900320365
gram_stain	genus	Fold1	gram stain positive	49	0	0	79	1
gram_stain	genus	Fold1	gram stain variable	0	0	2	126	0
gram_stain	genus	Fold10	gram stain negative	78	0	5	44	0.9186213893362989
gram_stain	genus	Fold10	gram stain positive	39	0	2	86	0.9641581233998706
gram_stain	genus	Fold10	gram stain variable	0	0	4	123	0
gram_stain	genus	Fold2	gram stain negative	79	0	6	43	0.9031092085107972
gram_stain	genus	Fold2	gram stain positive	42	0	0	86	1
gram_stain	genus	Fold2	gram stain variable	0	0	1	127	0
gram_stain	genus	Fold3	gram stain negative	79	0	1	48	0.9835379701747717
gram_stain	genus	Fold3	gram stain positive	45	0	1	82	0.9830943973130388
gram_stain	genus	Fold3	gram stain variable	0	0	2	126	0
gram_stain	genus	Fold4	gram stain negative	72	0	3	53	0.9531901324349873
gram_stain	genus	Fold4	gram stain positive	44	0	4	80	0.9343531843023135
gram_stain	genus	Fold4	gram stain variable	1	0	5	122	0.4001312120750397
gram_stain	genus	Fold5	gram stain negative	73	0	2	53	0.9684727120262058
gram_stain	genus	Fold5	gram stain positive	44	0	5	79	0.9189718343150318
gram_stain	genus	Fold5	gram stain variable	0	0	4	124	0
gram_stain	genus	Fold6	gram stain negative	80	0	2	46	0.9669329602374179
gram_stain	genus	Fold6	gram stain positive	35	0	4	89	0.9267343222292969
gram_stain	genus	Fold6	gram stain variable	1	0	8	119	0.3226638901422807
gram_stain	genus	Fold7	gram stain negative	85	0	8	35	0.8625172369268913
gram_stain	genus	Fold7	gram stain positive	31	0	2	95	0.9591793326536704
gram_stain	genus	Fold7	gram stain variable	0	0	4	124	0
gram_stain	genus	Fold8	gram stain negative	79	0	5	44	0.9189718343150318
gram_stain	genus	Fold8	gram stain positive	32	0	6	90	0.8885233166386385
gram_stain	genus	Fold8	gram stain variable	0	0	7	121	0
gram_stain	genus	Fold9	gram stain negative	76	0	5	46	0.9199370590912301
gram_stain	genus	Fold9	gram stain positive	41	0	1	85	0.9822624008592356
gram_stain	genus	Fold9	gram stain variable	2	0	4	121	0.5680375574437545
gram_stain	species	Fold1	gram stain negative	153	0	6	110	0.9552444018542637
gram_stain	species	Fold1	gram stain positive	98	0	11	160	0.9171950981153723
gram_stain	species	Fold1	gram stain variable	0	0	1	268	0
gram_stain	species	Fold10	gram stain negative	151	0	6	111	0.9552283558522899
gram_stain	species	Fold10	gram stain positive	103	0	8	157	0.9396475312251306
gram_stain	species	Fold2	gram stain negative	156	0	7	106	0.9475065216145429
gram_stain	species	Fold2	gram stain positive	97	0	8	164	0.9385316398402207
gram_stain	species	Fold2	gram stain variable	1	0	0	268	1
gram_stain	species	Fold3	gram stain negative	135	0	9	125	0.935165002600906
gram_stain	species	Fold3	gram stain positive	115	0	8	146	0.9414828903020469
gram_stain	species	Fold3	gram stain variable	1	0	1	267	0.7057863191917289
gram_stain	species	Fold4	gram stain negative	141	0	12	116	0.9138772174791595
gram_stain	species	Fold4	gram stain positive	109	0	6	154	0.9551348641399561
gram_stain	species	Fold4	gram stain variable	1	0	0	268	1
gram_stain	species	Fold5	gram stain negative	147	0	8	113	0.9411077609119091
gram_stain	species	Fold5	gram stain positive	103	0	9	156	0.9324593929391882
gram_stain	species	Fold5	gram stain variable	0	0	1	267	0
gram_stain	species	Fold6	gram stain negative	149	0	7	112	0.9481266756408872
gram_stain	species	Fold6	gram stain positive	106	0	5	157	0.9620192495954265
gram_stain	species	Fold6	gram stain variable	0	0	1	267	0
gram_stain	species	Fold7	gram stain negative	140	0	8	120	0.9417135043761051
gram_stain	species	Fold7	gram stain positive	114	0	5	149	0.9627459908232439
gram_stain	species	Fold7	gram stain variable	0	0	2	266	0
gram_stain	species	Fold8	gram stain negative	151	0	5	112	0.9625920154052027
gram_stain	species	Fold8	gram stain positive	105	0	6	157	0.9545291246348414
gram_stain	species	Fold8	gram stain variable	0	0	1	267	0
gram_stain	species	Fold9	gram stain negative	158	0	5	105	0.9619069181214728
gram_stain	species	Fold9	gram stain positive	95	0	8	165	0.9379120397627343
gram_stain	species	Fold9	gram stain variable	1	0	1	266	0.7057813689974892
gram_stain	strain	Fold1	gram stain negative	137	0	13	84	0.889341236563079
gram_stain	strain	Fold1	gram stain positive	78	0	4	152	0.9627197246824659
gram_stain	strain	Fold1	gram stain variable	0	0	2	232	0
gram_stain	strain	Fold10	gram stain negative	146	0	6	82	0.9460633621314506
gram_stain	strain	Fold10	gram stain positive	78	0	3	153	0.97182531580755
gram_stain	strain	Fold10	gram stain variable	0	0	1	233	0
gram_stain	strain	Fold2	gram stain negative	142	0	8	84	0.9297030849077337
gram_stain	strain	Fold2	gram stain positive	79	0	2	153	0.9811850051529107
gram_stain	strain	Fold2	gram stain variable	1	0	2	231	0.5748670307160534
gram_stain	strain	Fold3	gram stain negative	136	0	7	91	0.9397429877987296
gram_stain	strain	Fold3	gram stain positive	83	0	5	146	0.9549610631587592
gram_stain	strain	Fold3	gram stain variable	0	0	3	231	0
gram_stain	strain	Fold4	gram stain negative	144	0	7	83	0.9378007243948454
gram_stain	strain	Fold4	gram stain positive	69	0	9	156	0.9145291883606759
gram_stain	strain	Fold4	gram stain variable	0	0	5	229	0
gram_stain	strain	Fold5	gram stain negative	142	0	4	88	0.9645287264181224
gram_stain	strain	Fold5	gram stain positive	82	0	2	150	0.981501841394938
gram_stain	strain	Fold5	gram stain variable	0	0	4	230	0
gram_stain	strain	Fold6	gram stain negative	143	0	8	83	0.929389785665384
gram_stain	strain	Fold6	gram stain positive	76	0	5	153	0.9531943482530154
gram_stain	strain	Fold6	gram stain variable	0	0	2	232	0
gram_stain	strain	Fold7	gram stain negative	148	0	10	76	0.9098292289146681
gram_stain	strain	Fold7	gram stain positive	73	0	2	159	0.9804296180883382
gram_stain	strain	Fold7	gram stain variable	0	0	1	233	0
gram_stain	strain	Fold8	gram stain negative	160	0	6	68	0.9411190052753818
gram_stain	strain	Fold8	gram stain positive	65	0	1	168	0.9894548898363074
gram_stain	strain	Fold8	gram stain variable	0	0	2	232	0
gram_stain	strain	Fold9	gram stain negative	144	0	2	88	0.9820303262342949
gram_stain	strain	Fold9	gram stain positive	80	0	6	148	0.9455103020057654
gram_stain	strain	Fold9	gram stain variable	0	0	2	232	0
