Attribute_group	Rank	Fold	Attribute	mcc
gram_stain	all	Fold1	gram_stain_negative	0.931962506860513
gram_stain	all	Fold1	gram_stain_positive	0.9580916645425616
gram_stain	all	Fold1	gram_stain_variable	0.28614385696412714
gram_stain	all	Fold10	gram_stain_negative	0.9541094505760392
gram_stain	all	Fold10	gram_stain_positive	0.9592002565234089
gram_stain	all	Fold10	gram_stain_variable	0.3515805782756888
gram_stain	all	Fold2	gram_stain_negative	0.9209328050150238
gram_stain	all	Fold2	gram_stain_positive	0.9362728603410594
gram_stain	all	Fold2	gram_stain_variable	0.468774104367585
gram_stain	all	Fold3	gram_stain_negative	0.9346741635498991
gram_stain	all	Fold3	gram_stain_positive	0.9554677704072918
gram_stain	all	Fold3	gram_stain_variable	0.5764316524276827
gram_stain	all	Fold4	gram_stain_negative	0.9342427398117146
gram_stain	all	Fold4	gram_stain_positive	0.9615143285055967
gram_stain	all	Fold4	gram_stain_variable	0.5745811871875518
gram_stain	all	Fold5	gram_stain_negative	0.9520331092974141
gram_stain	all	Fold5	gram_stain_positive	0.9539675838687149
gram_stain	all	Fold5	gram_stain_variable	0.6099258720352748
gram_stain	all	Fold6	gram_stain_negative	0.9305404734644368
gram_stain	all	Fold6	gram_stain_positive	0.9337832829474916
gram_stain	all	Fold6	gram_stain_variable	0.40498486249920895
gram_stain	all	Fold7	gram_stain_negative	0.9350785310852144
gram_stain	all	Fold7	gram_stain_positive	0.9590357045029887
gram_stain	all	Fold7	gram_stain_variable	0
gram_stain	all	Fold8	gram_stain_negative	0.9332534911007221
gram_stain	all	Fold8	gram_stain_positive	0.9468641529479986
gram_stain	all	Fold8	gram_stain_variable	0
gram_stain	all	Fold9	gram_stain_negative	0.9479562894105797
gram_stain	all	Fold9	gram_stain_positive	0.9458587787991599
gram_stain	all	Fold9	gram_stain_variable	0.5745811871875518
gram_stain	genus	Fold1	gram_stain_negative	0.90784129900320365
gram_stain	genus	Fold1	gram_stain_positive	1
gram_stain	genus	Fold1	gram_stain_variable	0
gram_stain	genus	Fold10	gram_stain_negative	0.9340717102232342
gram_stain	genus	Fold10	gram_stain_positive	0.9820365832569886
gram_stain	genus	Fold10	gram_stain_variable	0
gram_stain	genus	Fold2	gram_stain_negative	0.8883560494465242
gram_stain	genus	Fold2	gram_stain_positive	0.9647465629562672
gram_stain	genus	Fold2	gram_stain_variable	0
gram_stain	genus	Fold3	gram_stain_negative	0.967470929795826
gram_stain	genus	Fold3	gram_stain_positive	0.9830943973130388
gram_stain	genus	Fold3	gram_stain_variable	0
gram_stain	genus	Fold4	gram_stain_negative	0.9382078224618758
gram_stain	genus	Fold4	gram_stain_positive	0.9182250567818114
gram_stain	genus	Fold4	gram_stain_variable	0.4001312120750397
gram_stain	genus	Fold5	gram_stain_negative	0.9684727120262057
gram_stain	genus	Fold5	gram_stain_positive	0.9349377945170603
gram_stain	genus	Fold5	gram_stain_variable	0
gram_stain	genus	Fold6	gram_stain_negative	0.9510152810069933
gram_stain	genus	Fold6	gram_stain_positive	0.9267343222292969
gram_stain	genus	Fold6	gram_stain_variable	0.3226638901422807
gram_stain	genus	Fold7	gram_stain_negative	0.8625172369268913
gram_stain	genus	Fold7	gram_stain_positive	0.9591793326536706
gram_stain	genus	Fold7	gram_stain_variable	0
gram_stain	genus	Fold8	gram_stain_negative	0.9039595439746501
gram_stain	genus	Fold8	gram_stain_positive	0.8885233166386386
