Attribute_group	Rank	Fold	Attribute	PosNeg	n
habitat	all	Fold1	free-living--FALSE	TP	108
habitat	all	Fold1	free-living--FALSE	FP	0
habitat	all	Fold1	free-living--FALSE	FN	0
habitat	all	Fold1	free-living--FALSE	TN	126
habitat	all	Fold1	free-living--TRUE	TP	119
habitat	all	Fold1	free-living--TRUE	FP	0
habitat	all	Fold1	free-living--TRUE	FN	7
habitat	all	Fold1	free-living--TRUE	TN	2
habitat	all	Fold10	free-living--FALSE	TP	108
habitat	all	Fold10	free-living--FALSE	FP	0
habitat	all	Fold10	free-living--FALSE	FN	0
habitat	all	Fold10	free-living--FALSE	TN	125
habitat	all	Fold10	free-living--TRUE	TP	121
habitat	all	Fold10	free-living--TRUE	FP	0
habitat	all	Fold10	free-living--TRUE	FN	4
habitat	all	Fold10	free-living--TRUE	TN	2
habitat	all	Fold2	free-living--FALSE	TP	113
habitat	all	Fold2	free-living--FALSE	FP	0
habitat	all	Fold2	free-living--FALSE	FN	0
habitat	all	Fold2	free-living--FALSE	TN	126
habitat	all	Fold2	free-living--TRUE	TP	121
habitat	all	Fold2	free-living--TRUE	FP	0
habitat	all	Fold2	free-living--TRUE	FN	5
habitat	all	Fold2	free-living--TRUE	TN	2
habitat	all	Fold3	free-living--FALSE	TP	111
habitat	all	Fold3	free-living--FALSE	FP	0
habitat	all	Fold3	free-living--FALSE	FN	0
habitat	all	Fold3	free-living--FALSE	TN	125
habitat	all	Fold3	free-living--TRUE	TP	121
habitat	all	Fold3	free-living--TRUE	FP	0
habitat	all	Fold3	free-living--TRUE	FN	4
habitat	all	Fold3	free-living--TRUE	TN	2
habitat	all	Fold4	free-living--FALSE	TP	113
habitat	all	Fold4	free-living--FALSE	FP	0
habitat	all	Fold4	free-living--FALSE	FN	0
habitat	all	Fold4	free-living--FALSE	TN	125
habitat	all	Fold4	free-living--TRUE	TP	121
habitat	all	Fold4	free-living--TRUE	FP	0
habitat	all	Fold4	free-living--TRUE	FN	4
habitat	all	Fold4	free-living--TRUE	TN	2
habitat	all	Fold5	free-living--FALSE	TP	109
habitat	all	Fold5	free-living--FALSE	FP	0
habitat	all	Fold5	free-living--FALSE	FN	0
habitat	all	Fold5	free-living--FALSE	TN	125
habitat	all	Fold5	free-living--TRUE	TP	119
habitat	all	Fold5	free-living--TRUE	FP	0
habitat	all	Fold5	free-living--TRUE	FN	6
habitat	all	Fold5	free-living--TRUE	TN	2
habitat	all	Fold6	free-living--FALSE	TP	114
habitat	all	Fold6	free-living--FALSE	FP	0
