Attribute_group	Attribute0	Rank	Fold	Attribute	mcc
habitat	free-living	all	Fold1	free-living--FALSE	1
habitat	free-living	all	Fold1	free-living--TRUE	0.4581228472908512
habitat	free-living	all	Fold10	free-living--FALSE	1
habitat	free-living	all	Fold10	free-living--TRUE	0.5680375574437545
habitat	free-living	all	Fold2	free-living--FALSE	0.9999999999999999
habitat	free-living	all	Fold2	free-living--TRUE	0.5238095238095238
habitat	free-living	all	Fold3	free-living--FALSE	0.9999999999999999
habitat	free-living	all	Fold3	free-living--TRUE	0.5680375574437545
habitat	free-living	all	Fold4	free-living--FALSE	1
habitat	free-living	all	Fold4	free-living--TRUE	0.5680375574437545
habitat	free-living	all	Fold5	free-living--FALSE	1
habitat	free-living	all	Fold5	free-living--TRUE	0.48785243670601874
habitat	free-living	all	Fold6	free-living--FALSE	0.9999999999999999
habitat	free-living	all	Fold6	free-living--TRUE	0.7014271166700072
habitat	free-living	all	Fold7	free-living--FALSE	1
habitat	free-living	all	Fold7	free-living--TRUE	0.6248199740725324
habitat	free-living	all	Fold8	free-living--FALSE	0.9999999999999999
habitat	free-living	all	Fold8	free-living--TRUE	0.5237229365663817
habitat	free-living	all	Fold9	free-living--FALSE	1
habitat	free-living	all	Fold9	free-living--TRUE	0.5680375574437545
habitat	host-associated	all	Fold1	host-associated--FALSE	0.9370801635556433
habitat	host-associated	all	Fold1	host-associated--TRUE	0.45670230791039607
habitat	host-associated	all	Fold10	host-associated--FALSE	0.9192661286091393
habitat	host-associated	all	Fold10	host-associated--TRUE	0.4092237955355674
habitat	host-associated	all	Fold2	host-associated--FALSE	0.9723258809087338
habitat	host-associated	all	Fold2	host-associated--TRUE	0.4092237955355674
habitat	host-associated	all	Fold3	host-associated--FALSE	0.9723258809087338
habitat	host-associated	all	Fold3	host-associated--TRUE	0.4866642633922876
habitat	host-associated	all	Fold4	host-associated--FALSE	0.9999999999999999
habitat	host-associated	all	Fold4	host-associated--TRUE	0.6240782676960689
habitat	host-associated	all	Fold5	host-associated--FALSE	0.9547141743834662
habitat	host-associated	all	Fold5	host-associated--TRUE	0.4866642633922876
habitat	host-associated	all	Fold6	host-associated--FALSE	0.9547141743834662
habitat	host-associated	all	Fold6	host-associated--TRUE	0.45670230791039607
habitat	host-associated	all	Fold7	host-associated--FALSE	0.9461460287356851
habitat	host-associated	all	Fold7	host-associated--TRUE	0.5671308728156005
habitat	host-associated	all	Fold8	host-associated--FALSE	0.9730276342280603
habitat	host-associated	all	Fold8	host-associated--TRUE	0.4866642633922876
habitat	host-associated	all	Fold9	host-associated--FALSE	0.929464090326082
habitat	host-associated	all	Fold9	host-associated--TRUE	0.4866642633922876
habitat	not_host-associated	all	Fold1	not_host-associated--FALSE	1
habitat	not_host-associated	all	Fold1	not_host-associated--TRUE	0.4375949744936837
habitat	not_host-associated	all	Fold10	not_host-associated--FALSE	1.0000000000000002
