Attribute_group	Rank	Fold	Attribute	mcc
aerophilicity	all	Fold1	aerobic	0.8955068693907168
aerophilicity	all	Fold1	anaerobic	0.9480948306437041
aerophilicity	all	Fold1	facultatively_anaerobic	0.7237468644557459
aerophilicity	all	Fold10	aerobic	0.9121981125549067
aerophilicity	all	Fold10	anaerobic	0.9198342418580354
aerophilicity	all	Fold10	facultatively_anaerobic	0.7857125172161703
aerophilicity	all	Fold2	aerobic	0.9129738473034439
aerophilicity	all	Fold2	anaerobic	0.9411621245564762
aerophilicity	all	Fold2	facultatively_anaerobic	0.7175969206806094
aerophilicity	all	Fold3	aerobic	0.932238764857221
aerophilicity	all	Fold3	anaerobic	0.9313177667390699
aerophilicity	all	Fold3	facultatively_anaerobic	0.7709133705015645
aerophilicity	all	Fold4	aerobic	0.9233938476050481
aerophilicity	all	Fold4	anaerobic	0.9424731989824435
aerophilicity	all	Fold4	facultatively_anaerobic	0.676012258954988
aerophilicity	all	Fold5	aerobic	0.9165364490842686
aerophilicity	all	Fold5	anaerobic	0.9445367488064866
aerophilicity	all	Fold5	facultatively_anaerobic	0.7893386122284193
aerophilicity	all	Fold6	aerobic	0.8880569583592723
aerophilicity	all	Fold6	anaerobic	0.9616718360901626
aerophilicity	all	Fold6	facultatively_anaerobic	0.7754057548190838
aerophilicity	all	Fold7	aerobic	0.9200751685600854
aerophilicity	all	Fold7	anaerobic	0.9433069693756898
aerophilicity	all	Fold7	facultatively_anaerobic	0.7350187204434276
aerophilicity	all	Fold8	aerobic	0.9344568085160556
aerophilicity	all	Fold8	anaerobic	0.9470594412508607
aerophilicity	all	Fold8	facultatively_anaerobic	0.7854211877692769
aerophilicity	all	Fold9	aerobic	0.9235240406540631
aerophilicity	all	Fold9	anaerobic	0.9248959367293941
aerophilicity	all	Fold9	facultatively_anaerobic	0.7578227877792834
aerophilicity	genus	Fold1	aerobic	0.9032106474595007
aerophilicity	genus	Fold1	anaerobic	0.9812300953395182
aerophilicity	genus	Fold1	facultatively_anaerobic	0.4096732451993513
aerophilicity	genus	Fold10	aerobic	0.9032258064516128
aerophilicity	genus	Fold10	anaerobic	0.9813775719424686
aerophilicity	genus	Fold10	facultatively_anaerobic	0.5919040043371478
aerophilicity	genus	Fold2	aerobic	0.9833146369268897
aerophilicity	genus	Fold2	anaerobic	0.9274062241147343
aerophilicity	genus	Fold2	facultatively_anaerobic	0.6575959492214293
aerophilicity	genus	Fold3	aerobic	0.9506973393433278
aerophilicity	genus	Fold3	anaerobic	0.9804337851346919
aerophilicity	genus	Fold3	facultatively_anaerobic	0.41493844488487475
aerophilicity	genus	Fold4	aerobic	0.9830290707024659
aerophilicity	genus	Fold4	anaerobic	0.8975274678557508
aerophilicity	genus	Fold4	facultatively_anaerobic	0.4278625498405581
aerophilicity	genus	Fold5	aerobic	0.9343531843023134
aerophilicity	genus	Fold5	anaerobic	0.9242218211381413
aerophilicity	genus	Fold5	facultatively_anaerobic	0.4656330736664175
aerophilicity	genus	Fold6	aerobic	0.9999999999999999
aerophilicity	genus	Fold6	anaerobic	0.9608080285522081
aerophilicity	genus	Fold6	facultatively_anaerobic	0.5480832572857851
aerophilicity	genus	Fold7	aerobic	0.9503261906509312
aerophilicity	genus	Fold7	anaerobic	0.928693093799487
aerophilicity	genus	Fold7	facultatively_anaerobic	0.24225907349252923
aerophilicity	genus	Fold8	aerobic	0.9499891256445914
aerophilicity	genus	Fold8	anaerobic	0.851810656982429
aerophilicity	genus	Fold8	facultatively_anaerobic	0.5843952918554847
aerophilicity	genus	Fold9	aerobic	0.918693574984108
aerophilicity	genus	Fold9	anaerobic	0.9463157915472821
aerophilicity	genus	Fold9	facultatively_anaerobic	0.5512121263720411
aerophilicity	species	Fold1	aerobic	0.97147728534538
aerophilicity	species	Fold1	anaerobic	0.9429470777698891
aerophilicity	species	Fold1	facultatively_anaerobic	0.8649251805023574
aerophilicity	species	Fold10	aerobic	0.9465352075240353
aerophilicity	species	Fold10	anaerobic	0.9657169880613853
aerophilicity	species	Fold10	facultatively_anaerobic	0.8895950260342216
aerophilicity	species	Fold2	aerobic	0.9476158920328472
aerophilicity	species	Fold2	anaerobic	0.9532651645433526
aerophilicity	species	Fold2	facultatively_anaerobic	0.841136710001579
aerophilicity	species	Fold3	aerobic	0.937555400082746
aerophilicity	species	Fold3	anaerobic	0.9562609045707813
aerophilicity	species	Fold3	facultatively_anaerobic	0.8141374575448119
aerophilicity	species	Fold4	aerobic	0.9498341297034866
aerophilicity	species	Fold4	anaerobic	0.9109142823366146
aerophilicity	species	Fold4	facultatively_anaerobic	0.8683404951709192
aerophilicity	species	Fold5	aerobic	0.8895684188767863
aerophilicity	species	Fold5	anaerobic	0.9459536645662416
aerophilicity	species	Fold5	facultatively_anaerobic	0.767515771675159
aerophilicity	species	Fold6	aerobic	0.9503819266229829
