Attribute_group	Rank	Fold	Attribute	PosNeg	n
gram_stain	all	Fold1	gram stain negative	TP	336
gram_stain	all	Fold1	gram stain negative	FP	0
gram_stain	all	Fold1	gram stain negative	FN	22
gram_stain	all	Fold1	gram stain negative	TN	273
gram_stain	all	Fold1	gram stain positive	TP	248
gram_stain	all	Fold1	gram stain positive	FP	0
gram_stain	all	Fold1	gram stain positive	FN	13
gram_stain	all	Fold1	gram stain positive	TN	370
gram_stain	all	Fold1	gram stain variable	TP	1
gram_stain	all	Fold1	gram stain variable	FP	0
gram_stain	all	Fold1	gram stain variable	FN	11
gram_stain	all	Fold1	gram stain variable	TN	619
gram_stain	all	Fold10	gram stain negative	TP	381
gram_stain	all	Fold10	gram stain negative	FP	0
gram_stain	all	Fold10	gram stain negative	FN	14
gram_stain	all	Fold10	gram stain negative	TN	235
gram_stain	all	Fold10	gram stain positive	TP	217
gram_stain	all	Fold10	gram stain positive	FP	0
gram_stain	all	Fold10	gram stain positive	FN	12
gram_stain	all	Fold10	gram stain positive	TN	401
gram_stain	all	Fold10	gram stain variable	TP	1
gram_stain	all	Fold10	gram stain variable	FP	0
gram_stain	all	Fold10	gram stain variable	FN	7
gram_stain	all	Fold10	gram stain variable	TN	622
gram_stain	all	Fold2	gram stain negative	TP	364
gram_stain	all	Fold2	gram stain negative	FP	0
gram_stain	all	Fold2	gram stain negative	FN	25
gram_stain	all	Fold2	gram stain negative	TN	242
gram_stain	all	Fold2	gram stain positive	TP	214
gram_stain	all	Fold2	gram stain positive	FP	0
gram_stain	all	Fold2	gram stain positive	FN	19
gram_stain	all	Fold2	gram stain positive	TN	398
gram_stain	all	Fold2	gram stain variable	TP	2
gram_stain	all	Fold2	gram stain variable	FP	0
gram_stain	all	Fold2	gram stain variable	FN	7
gram_stain	all	Fold2	gram stain variable	TN	622
gram_stain	all	Fold3	gram stain negative	TP	382
gram_stain	all	Fold3	gram stain negative	FP	0
gram_stain	all	Fold3	gram stain negative	FN	20
gram_stain	all	Fold3	gram stain negative	TN	228
gram_stain	all	Fold3	gram stain positive	TP	212
gram_stain	all	Fold3	gram stain positive	FP	0
