Attribute_group	Rank	Fold	Attribute	mcc
growth_temperature	all	Fold1	hyperthermophile	0.9416267065046476
growth_temperature	all	Fold1	mesophile	0.9027392016446314
growth_temperature	all	Fold1	psychrophile	0.7249465119962123
growth_temperature	all	Fold1	thermophile	0.8491348791084106
growth_temperature	all	Fold10	hyperthermophile	0.9805933446100581
growth_temperature	all	Fold10	mesophile	0.868508899202233
growth_temperature	all	Fold10	psychrophile	0.7134766307174328
growth_temperature	all	Fold10	thermophile	0.7015528397157473
growth_temperature	all	Fold2	hyperthermophile	0.8891735350327491
growth_temperature	all	Fold2	mesophile	0.884648488373037
growth_temperature	all	Fold2	psychrophile	0.7344742990562945
growth_temperature	all	Fold2	thermophile	0.8539125638299665
growth_temperature	all	Fold3	hyperthermophile	0.962224511630041
growth_temperature	all	Fold3	mesophile	0.8555813147250375
growth_temperature	all	Fold3	psychrophile	0.7551170792328014
growth_temperature	all	Fold3	thermophile	0.7637626158259734
growth_temperature	all	Fold4	hyperthermophile	0.9999999999999998
growth_temperature	all	Fold4	mesophile	0.8795808953361421
growth_temperature	all	Fold4	psychrophile	0.7001300574972804
growth_temperature	all	Fold4	thermophile	0.9109126768038222
growth_temperature	all	Fold5	hyperthermophile	0.9657911426382481
growth_temperature	all	Fold5	mesophile	0.9367104736096096
growth_temperature	all	Fold5	psychrophile	0.6970471698376044
growth_temperature	all	Fold5	thermophile	0.7185808679104146
growth_temperature	all	Fold6	hyperthermophile	1.0000000000000002
growth_temperature	all	Fold6	mesophile	0.8639379741112971
growth_temperature	all	Fold6	psychrophile	0.766425964541969
growth_temperature	all	Fold6	thermophile	0.7788248948790756
growth_temperature	all	Fold7	hyperthermophile	0.9333874443188753
growth_temperature	all	Fold7	mesophile	0.832472976759995
growth_temperature	all	Fold7	psychrophile	0.6796537481481935
growth_temperature	all	Fold7	thermophile	0.6816078308877317
growth_temperature	all	Fold8	hyperthermophile	0.9782364000659007
growth_temperature	all	Fold8	mesophile	0.836806248904456
growth_temperature	all	Fold8	psychrophile	0.7151482015265279
growth_temperature	all	Fold8	thermophile	0.8553238844837792
growth_temperature	all	Fold9	hyperthermophile	0.9138662457665866
growth_temperature	all	Fold9	mesophile	0.8795536126271809
growth_temperature	all	Fold9	psychrophile	0.7810061936289645
growth_temperature	all	Fold9	thermophile	0.8129997914936147
growth_temperature	species	Fold1	hyperthermophile	1
growth_temperature	species	Fold1	mesophile	0.9275227800235887
growth_temperature	species	Fold1	psychrophile	0.6776385401114262
growth_temperature	species	Fold1	thermophile	0.6675790814777309
growth_temperature	species	Fold10	hyperthermophile	0.8124711007891211
growth_temperature	species	Fold10	mesophile	0.8341188497614079
growth_temperature	species	Fold10	psychrophile	0.7041465910933231
growth_temperature	species	Fold10	thermophile	0.6503887805479955
growth_temperature	species	Fold2	hyperthermophile	0.9338796215471153
growth_temperature	species	Fold2	mesophile	0.8522416262267903
growth_temperature	species	Fold2	psychrophile	0.7532636612400135
growth_temperature	species	Fold2	thermophile	0.7866972150346805
growth_temperature	species	Fold3	hyperthermophile	0.7522264146345135
growth_temperature	species	Fold3	mesophile	0.8601372205329957
growth_temperature	species	Fold3	psychrophile	0.6775916430879358
growth_temperature	species	Fold3	thermophile	0.7048146948278727
growth_temperature	species	Fold4	hyperthermophile	0.8485705670129738
growth_temperature	species	Fold4	mesophile	0.8549671678675667
growth_temperature	species	Fold4	psychrophile	0.7300911128297843
growth_temperature	species	Fold4	thermophile	0
growth_temperature	species	Fold5	hyperthermophile	0.8617132173027011
growth_temperature	species	Fold5	mesophile	0.9074806151196776
growth_temperature	species	Fold5	psychrophile	0.7262305906774849
growth_temperature	species	Fold5	thermophile	0.4443189787064128
growth_temperature	species	Fold6	hyperthermophile	0.924301115813028
growth_temperature	species	Fold6	mesophile	0.904416374595369
growth_temperature	species	Fold6	psychrophile	0.7064420731274177
growth_temperature	species	Fold6	thermophile	0.49264064509011557
growth_temperature	species	Fold7	hyperthermophile	0.9999999999999999
growth_temperature	species	Fold7	mesophile	0.8627065203074031
growth_temperature	species	Fold7	psychrophile	0.8883425816501658
growth_temperature	species	Fold7	thermophile	0.4660343998550493
growth_temperature	species	Fold8	hyperthermophile	0.9999999999999999
growth_temperature	species	Fold8	mesophile	0.8641825024597909
growth_temperature	species	Fold8	psychrophile	0.6606239785802539
growth_temperature	species	Fold8	thermophile	0.569778134621473
growth_temperature	species	Fold9	hyperthermophile	0.9113780893715255
growth_temperature	species	Fold9	mesophile	0.9010785508487581
growth_temperature	species	Fold9	psychrophile	0.7019809541708659
growth_temperature	species	Fold9	thermophile	0.6073815420823534
growth_temperature	strain	Fold1	hyperthermophile	0.8737125855539726
growth_temperature	strain	Fold1	mesophile	0.8874165979276301
growth_temperature	strain	Fold1	psychrophile	0.7574307220474349
growth_temperature	strain	Fold1	thermophile	0.813413511713769
growth_temperature	strain	Fold10	hyperthermophile	1
growth_temperature	strain	Fold10	mesophile	0.8746511174516816
growth_temperature	strain	Fold10	psychrophile	0.695221787153807
growth_temperature	strain	Fold10	thermophile	0.811285956035054
growth_temperature	strain	Fold2	hyperthermophile	0.9434579371105886
growth_temperature	strain	Fold2	mesophile	0.945791499903526
growth_temperature	strain	Fold2	psychrophile	0.7574307220474349
growth_temperature	strain	Fold2	thermophile	0.6276941930590086
growth_temperature	strain	Fold3	hyperthermophile	1.0000000000000002
growth_temperature	strain	Fold3	mesophile	0.9065534073951573
growth_temperature	strain	Fold3	psychrophile	0.6437735971942655
growth_temperature	strain	Fold3	thermophile	0.7875842461118798
growth_temperature	strain	Fold4	hyperthermophile	0.8998228869411169
growth_temperature	strain	Fold4	mesophile	0.9409196908555209
growth_temperature	strain	Fold4	psychrophile	0.7624294729997662
growth_temperature	strain	Fold4	thermophile	0.7966800218957985
growth_temperature	strain	Fold5	hyperthermophile	0.9390701939058551
growth_temperature	strain	Fold5	mesophile	0.901188894091685
growth_temperature	strain	Fold5	psychrophile	0.8908708063747479
growth_temperature	strain	Fold5	thermophile	0.6733502088648503
growth_temperature	strain	Fold6	hyperthermophile	0.9562051198840743
growth_temperature	strain	Fold6	mesophile	0.8543111228079481
growth_temperature	strain	Fold6	psychrophile	0.7906429529628196
growth_temperature	strain	Fold6	thermophile	0.6761945409710561
growth_temperature	strain	Fold7	hyperthermophile	0.9039791398012604
growth_temperature	strain	Fold7	mesophile	0.8582213638382828
growth_temperature	strain	Fold7	psychrophile	0.7894786041838798
growth_temperature	strain	Fold7	thermophile	0.7936849002247753
growth_temperature	strain	Fold8	hyperthermophile	0.9530284077161364
growth_temperature	strain	Fold8	mesophile	0.9053031438335765
growth_temperature	strain	Fold8	psychrophile	0.720182120890213
growth_temperature	strain	Fold8	thermophile	0.8408422150913647
growth_temperature	strain	Fold9	hyperthermophile	1
growth_temperature	strain	Fold9	mesophile	0.9076384914494164
growth_temperature	strain	Fold9	psychrophile	0.85276163036377
growth_temperature	strain	Fold9	thermophile	0.8123519014653353
