Attribute_group	Attribute0	Rank	Fold	Attribute	mcc
habitat	free-living	all	Fold1	free-living	-0.16903085094570333
habitat	free-living	all	Fold10	free-living	-0.12751534261266764
habitat	free-living	all	Fold2	free-living	-0.14227759830611805
habitat	free-living	all	Fold3	free-living	-0.12751534261266764
habitat	free-living	all	Fold4	free-living	-0.12751534261266764
habitat	free-living	all	Fold5	free-living	-0.15681251204679503
habitat	free-living	all	Fold6	free-living	-0.08980265101338746
habitat	free-living	all	Fold7	free-living	-0.11020775375559676
habitat	free-living	all	Fold8	free-living	-0.14285714285714285
habitat	free-living	all	Fold9	free-living	-0.12751534261266764
habitat	host-associated	all	Fold1	host-associated	-0.1779724926633225
habitat	host-associated	all	Fold10	host-associated	-0.20272121351984576
habitat	host-associated	all	Fold2	host-associated	-0.20272121351984576
habitat	host-associated	all	Fold3	host-associated	-0.1643989873053573
habitat	host-associated	all	Fold4	host-associated	-0.11547005383792514
habitat	host-associated	all	Fold5	host-associated	-0.1643989873053573
habitat	host-associated	all	Fold6	host-associated	-0.1779724926633225
habitat	host-associated	all	Fold7	host-associated	-0.1336306209562122
habitat	host-associated	all	Fold8	host-associated	-0.1643989873053573
habitat	host-associated	all	Fold9	host-associated	-0.1643989873053573
habitat	not_host-associated	all	Fold1	not_host-associated	-0.14744195615489716
habitat	not_host-associated	all	Fold10	not_host-associated	-0.165748386032949
habitat	not_host-associated	all	Fold2	not_host-associated	-0.116090865053143
habitat	not_host-associated	all	Fold3	not_host-associated	-0.1377323117568896
habitat	not_host-associated	all	Fold4	not_host-associated	-0.08968219133339267
habitat	not_host-associated	all	Fold5	not_host-associated	-0.10369516947304254
habitat	not_host-associated	all	Fold6	not_host-associated	-0.116090865053143
habitat	not_host-associated	all	Fold7	not_host-associated	-0.116090865053143
habitat	not_host-associated	all	Fold8	not_host-associated	-0.1164050492949297
habitat	not_host-associated	all	Fold9	not_host-associated	-0.165748386032949
habitat	free-living	species	Fold1	free-living	-0.12751534261266764
habitat	free-living	species	Fold10	free-living	-0.12803687993289598
habitat	free-living	species	Fold2	free-living	-0.1574591643244434
