Attribute_group	Rank	Fold	Attribute	PosNeg	n
habitat	all	Fold1	free-living	TP	119
habitat	all	Fold1	free-living	FP	126
habitat	all	Fold1	free-living	FN	7
habitat	all	Fold1	free-living	TN	0
habitat	all	Fold10	free-living	TP	121
habitat	all	Fold10	free-living	FP	125
habitat	all	Fold10	free-living	FN	4
habitat	all	Fold10	free-living	TN	0
habitat	all	Fold2	free-living	TP	121
habitat	all	Fold2	free-living	FP	126
habitat	all	Fold2	free-living	FN	5
habitat	all	Fold2	free-living	TN	0
habitat	all	Fold3	free-living	TP	121
habitat	all	Fold3	free-living	FP	125
habitat	all	Fold3	free-living	FN	4
habitat	all	Fold3	free-living	TN	0
habitat	all	Fold4	free-living	TP	121
habitat	all	Fold4	free-living	FP	125
habitat	all	Fold4	free-living	FN	4
habitat	all	Fold4	free-living	TN	0
habitat	all	Fold5	free-living	TP	119
habitat	all	Fold5	free-living	FP	125
habitat	all	Fold5	free-living	FN	6
habitat	all	Fold5	free-living	TN	0
habitat	all	Fold6	free-living	TP	123
habitat	all	Fold6	free-living	FP	125
habitat	all	Fold6	free-living	FN	2
habitat	all	Fold6	free-living	TN	0
habitat	all	Fold7	free-living	TP	122
habitat	all	Fold7	free-living	FP	125
habitat	all	Fold7	free-living	FN	3
habitat	all	Fold7	free-living	TN	0
habitat	all	Fold8	free-living	TP	120
habitat	all	Fold8	free-living	FP	125
habitat	all	Fold8	free-living	FN	5
habitat	all	Fold8	free-living	TN	0
habitat	all	Fold9	free-living	TP	121
habitat	all	Fold9	free-living	FP	125
habitat	all	Fold9	free-living	FN	4
habitat	all	Fold9	free-living	TN	0
habitat	all	Fold1	host-associated	TP	107
habitat	all	Fold1	host-associated	FP	114
habitat	all	Fold1	host-associated	FN	7
habitat	all	Fold1	host-associated	TN	0
habitat	all	Fold10	host-associated	TP	105
habitat	all	Fold10	host-associated	FP	114
habitat	all	Fold10	host-associated	FN	9
habitat	all	Fold10	host-associated	TN	0
habitat	all	Fold2	host-associated	TP	105
habitat	all	Fold2	host-associated	FP	114
habitat	all	Fold2	host-associated	FN	9
habitat	all	Fold2	host-associated	TN	0
habitat	all	Fold3	host-associated	TP	108
habitat	all	Fold3	host-associated	FP	114
habitat	all	Fold3	host-associated	FN	6
habitat	all	Fold3	host-associated	TN	0
habitat	all	Fold4	host-associated	TP	111
habitat	all	Fold4	host-associated	FP	114
habitat	all	Fold4	host-associated	FN	3
habitat	all	Fold4	host-associated	TN	0
habitat	all	Fold5	host-associated	TP	108
habitat	all	Fold5	host-associated	FP	114
habitat	all	Fold5	host-associated	FN	6
