Attribute_group	Rank	Fold	Attribute	PosNeg	n
optimal_ph	all	Fold1	acidic	TP	0
optimal_ph	all	Fold1	acidic	FP	0
optimal_ph	all	Fold1	acidic	FN	6
optimal_ph	all	Fold1	acidic	TN	82
optimal_ph	all	Fold1	alkaline	TP	1
optimal_ph	all	Fold1	alkaline	FP	0
optimal_ph	all	Fold1	alkaline	FN	9
optimal_ph	all	Fold1	alkaline	TN	78
optimal_ph	all	Fold1	neutral	TP	69
optimal_ph	all	Fold1	neutral	FP	0
optimal_ph	all	Fold1	neutral	FN	3
optimal_ph	all	Fold1	neutral	TN	16
optimal_ph	all	Fold10	acidic	TP	2
optimal_ph	all	Fold10	acidic	FP	0
optimal_ph	all	Fold10	acidic	FN	5
optimal_ph	all	Fold10	acidic	TN	80
optimal_ph	all	Fold10	alkaline	TP	1
optimal_ph	all	Fold10	alkaline	FP	0
optimal_ph	all	Fold10	alkaline	FN	16
optimal_ph	all	Fold10	alkaline	TN	70
optimal_ph	all	Fold10	neutral	TP	59
optimal_ph	all	Fold10	neutral	FP	0
optimal_ph	all	Fold10	neutral	FN	3
optimal_ph	all	Fold10	neutral	TN	25
optimal_ph	all	Fold10	very alkaline	TP	0
optimal_ph	all	Fold10	very alkaline	FP	0
optimal_ph	all	Fold10	very alkaline	FN	1
optimal_ph	all	Fold10	very alkaline	TN	86
optimal_ph	all	Fold2	acidic	TP	1
optimal_ph	all	Fold2	acidic	FP	0
optimal_ph	all	Fold2	acidic	FN	3
optimal_ph	all	Fold2	acidic	TN	84
optimal_ph	all	Fold2	alkaline	TP	3
optimal_ph	all	Fold2	alkaline	FP	0
optimal_ph	all	Fold2	alkaline	FN	7
optimal_ph	all	Fold2	alkaline	TN	78
optimal_ph	all	Fold2	neutral	TP	69
optimal_ph	all	Fold2	neutral	FP	0
optimal_ph	all	Fold2	neutral	FN	4
optimal_ph	all	Fold2	neutral	TN	15
optimal_ph	all	Fold2	very alkaline	TP	0
optimal_ph	all	Fold2	very alkaline	FP	0
optimal_ph	all	Fold2	very alkaline	FN	1
optimal_ph	all	Fold2	very alkaline	TN	87
optimal_ph	all	Fold3	acidic	TP	0
optimal_ph	all	Fold3	acidic	FP	0
optimal_ph	all	Fold3	acidic	FN	6
optimal_ph	all	Fold3	acidic	TN	82
optimal_ph	all	Fold3	alkaline	TP	3
optimal_ph	all	Fold3	alkaline	FP	0
optimal_ph	all	Fold3	alkaline	FN	13
optimal_ph	all	Fold3	alkaline	TN	72
optimal_ph	all	Fold3	neutral	TP	56
optimal_ph	all	Fold3	neutral	FP	0
optimal_ph	all	Fold3	neutral	FN	10
optimal_ph	all	Fold3	neutral	TN	22
optimal_ph	all	Fold4	acidic	TP	2
optimal_ph	all	Fold4	acidic	FP	0
optimal_ph	all	Fold4	acidic	FN	5
optimal_ph	all	Fold4	acidic	TN	81
optimal_ph	all	Fold4	alkaline	TP	3
optimal_ph	all	Fold4	alkaline	FP	0
optimal_ph	all	Fold4	alkaline	FN	12
optimal_ph	all	Fold4	alkaline	TN	73
optimal_ph	all	Fold4	neutral	TP	58
optimal_ph	all	Fold4	neutral	FP	0
optimal_ph	all	Fold4	neutral	FN	6
optimal_ph	all	Fold4	neutral	TN	24
optimal_ph	all	Fold4	very alkaline	TP	0
optimal_ph	all	Fold4	very alkaline	FP	0
optimal_ph	all	Fold4	very alkaline	FN	2
optimal_ph	all	Fold4	very alkaline	TN	86
optimal_ph	all	Fold5	acidic	TP	1
optimal_ph	all	Fold5	acidic	FP	0
optimal_ph	all	Fold5	acidic	FN	7
optimal_ph	all	Fold5	acidic	TN	80
optimal_ph	all	Fold5	alkaline	TP	2
optimal_ph	all	Fold5	alkaline	FP	0
optimal_ph	all	Fold5	alkaline	FN	7
optimal_ph	all	Fold5	alkaline	TN	79
optimal_ph	all	Fold5	neutral	TP	68
optimal_ph	all	Fold5	neutral	FP	0
optimal_ph	all	Fold5	neutral	FN	3
optimal_ph	all	Fold5	neutral	TN	17
optimal_ph	all	Fold6	acidic	TP	1
optimal_ph	all	Fold6	acidic	FP	0
optimal_ph	all	Fold6	acidic	FN	8
optimal_ph	all	Fold6	acidic	TN	79
optimal_ph	all	Fold6	alkaline	TP	6
optimal_ph	all	Fold6	alkaline	FP	0
optimal_ph	all	Fold6	alkaline	FN	9
optimal_ph	all	Fold6	alkaline	TN	73
optimal_ph	all	Fold6	neutral	TP	59
optimal_ph	all	Fold6	neutral	FP	0
optimal_ph	all	Fold6	neutral	FN	5
optimal_ph	all	Fold6	neutral	TN	24
optimal_ph	all	Fold7	acidic	TP	2
optimal_ph	all	Fold7	acidic	FP	0
optimal_ph	all	Fold7	acidic	FN	4
optimal_ph	all	Fold7	acidic	TN	82
optimal_ph	all	Fold7	alkaline	TP	5
optimal_ph	all	Fold7	alkaline	FP	0
optimal_ph	all	Fold7	alkaline	FN	9
optimal_ph	all	Fold7	alkaline	TN	74
optimal_ph	all	Fold7	neutral	TP	60
optimal_ph	all	Fold7	neutral	FP	0
optimal_ph	all	Fold7	neutral	FN	5
optimal_ph	all	Fold7	neutral	TN	23
optimal_ph	all	Fold7	very alkaline	TP	0
optimal_ph	all	Fold7	very alkaline	FP	0
optimal_ph	all	Fold7	very alkaline	FN	3
optimal_ph	all	Fold7	very alkaline	TN	85
optimal_ph	all	Fold8	acidic	TP	2
optimal_ph	all	Fold8	acidic	FP	0
optimal_ph	all	Fold8	acidic	FN	4
optimal_ph	all	Fold8	acidic	TN	82
optimal_ph	all	Fold8	alkaline	TP	4
optimal_ph	all	Fold8	alkaline	FP	0
optimal_ph	all	Fold8	alkaline	FN	11
optimal_ph	all	Fold8	alkaline	TN	73
optimal_ph	all	Fold8	neutral	TP	63
optimal_ph	all	Fold8	neutral	FP	0
optimal_ph	all	Fold8	neutral	FN	3
optimal_ph	all	Fold8	neutral	TN	22
optimal_ph	all	Fold8	very alkaline	TP	0
optimal_ph	all	Fold8	very alkaline	FP	0
optimal_ph	all	Fold8	very alkaline	FN	1
optimal_ph	all	Fold8	very alkaline	TN	87
optimal_ph	all	Fold9	acidic	TP	2
optimal_ph	all	Fold9	acidic	FP	0
optimal_ph	all	Fold9	acidic	FN	5
optimal_ph	all	Fold9	acidic	TN	80
optimal_ph	all	Fold9	alkaline	TP	0
optimal_ph	all	Fold9	alkaline	FP	0
optimal_ph	all	Fold9	alkaline	FN	9
optimal_ph	all	Fold9	alkaline	TN	78
optimal_ph	all	Fold9	neutral	TP	67
optimal_ph	all	Fold9	neutral	FP	0
optimal_ph	all	Fold9	neutral	FN	4
optimal_ph	all	Fold9	neutral	TN	16
optimal_ph	species	Fold1	acidic	TP	0
optimal_ph	species	Fold1	acidic	FP	0
optimal_ph	species	Fold1	acidic	FN	6
optimal_ph	species	Fold1	acidic	TN	82
optimal_ph	species	Fold1	alkaline	TP	1
optimal_ph	species	Fold1	alkaline	FP	0
optimal_ph	species	Fold1	alkaline	FN	9
optimal_ph	species	Fold1	alkaline	TN	78
optimal_ph	species	Fold1	neutral	TP	69
optimal_ph	species	Fold1	neutral	FP	0
optimal_ph	species	Fold1	neutral	FN	3
optimal_ph	species	Fold1	neutral	TN	16
optimal_ph	species	Fold10	acidic	TP	2
optimal_ph	species	Fold10	acidic	FP	0
optimal_ph	species	Fold10	acidic	FN	5
optimal_ph	species	Fold10	acidic	TN	80
optimal_ph	species	Fold10	alkaline	TP	1
optimal_ph	species	Fold10	alkaline	FP	0
optimal_ph	species	Fold10	alkaline	FN	16
optimal_ph	species	Fold10	alkaline	TN	70
optimal_ph	species	Fold10	neutral	TP	59
optimal_ph	species	Fold10	neutral	FP	0
optimal_ph	species	Fold10	neutral	FN	3
optimal_ph	species	Fold10	neutral	TN	25
optimal_ph	species	Fold10	very alkaline	TP	0
optimal_ph	species	Fold10	very alkaline	FP	0
optimal_ph	species	Fold10	very alkaline	FN	1
optimal_ph	species	Fold10	very alkaline	TN	86
optimal_ph	species	Fold2	acidic	TP	1
optimal_ph	species	Fold2	acidic	FP	0
optimal_ph	species	Fold2	acidic	FN	3
optimal_ph	species	Fold2	acidic	TN	84
optimal_ph	species	Fold2	alkaline	TP	3
optimal_ph	species	Fold2	alkaline	FP	0
optimal_ph	species	Fold2	alkaline	FN	7
optimal_ph	species	Fold2	alkaline	TN	78
optimal_ph	species	Fold2	neutral	TP	69
optimal_ph	species	Fold2	neutral	FP	0
optimal_ph	species	Fold2	neutral	FN	4
optimal_ph	species	Fold2	neutral	TN	15
optimal_ph	species	Fold2	very alkaline	TP	0
optimal_ph	species	Fold2	very alkaline	FP	0
optimal_ph	species	Fold2	very alkaline	FN	1
optimal_ph	species	Fold2	very alkaline	TN	87
optimal_ph	species	Fold3	acidic	TP	0
optimal_ph	species	Fold3	acidic	FP	0
optimal_ph	species	Fold3	acidic	FN	6
optimal_ph	species	Fold3	acidic	TN	82
optimal_ph	species	Fold3	alkaline	TP	3
optimal_ph	species	Fold3	alkaline	FP	0
optimal_ph	species	Fold3	alkaline	FN	13
optimal_ph	species	Fold3	alkaline	TN	72
optimal_ph	species	Fold3	neutral	TP	56
optimal_ph	species	Fold3	neutral	FP	0
optimal_ph	species	Fold3	neutral	FN	10
optimal_ph	species	Fold3	neutral	TN	22
optimal_ph	species	Fold4	acidic	TP	2
optimal_ph	species	Fold4	acidic	FP	0
optimal_ph	species	Fold4	acidic	FN	5
optimal_ph	species	Fold4	acidic	TN	81
optimal_ph	species	Fold4	alkaline	TP	3
optimal_ph	species	Fold4	alkaline	FP	0
optimal_ph	species	Fold4	alkaline	FN	12
optimal_ph	species	Fold4	alkaline	TN	73
optimal_ph	species	Fold4	neutral	TP	58
optimal_ph	species	Fold4	neutral	FP	0
optimal_ph	species	Fold4	neutral	FN	6
optimal_ph	species	Fold4	neutral	TN	24
