Physiology	Rank	Fold	Attribute	TP	FP	FN	TN	MCC
shape	all	Fold1	bacillus	271	0	11	115	0.9365344102406418
shape	all	Fold1	coccobacillus	0	0	7	390	0
shape	all	Fold1	coccus	63	0	24	310	0.8198195336332356
shape	all	Fold1	discoid	0	0	2	395	0
shape	all	Fold1	dumbbell-shaped	0	0	1	396	0
shape	all	Fold1	elliptic	0	0	14	383	0
shape	all	Fold1	filamentous	1	0	7	389	0.3504146173326736
shape	all	Fold1	flat	0	0	2	395	0
shape	all	Fold1	pleiomorphic cell	1	0	10	386	0.29768004097558337
shape	all	Fold1	rectangle	0	0	1	396	0
shape	all	Fold1	spirillum	19	0	6	372	0.8648332255044946
shape	all	Fold1	staphylococcus	2	0	0	395	1
shape	all	Fold1	tail	6	0	0	391	1
shape	all	Fold1	triangle	0	0	1	396	0
shape	all	Fold10	bacillus	282	0	11	103	0.9325173710909541
shape	all	Fold10	clavate	0	0	1	395	0
shape	all	Fold10	coccobacillus	0	0	3	393	0
shape	all	Fold10	coccus	54	0	24	318	0.8023245579915121
shape	all	Fold10	discoid	0	0	1	395	0
shape	all	Fold10	elliptic	2	0	11	383	0.38671818764774385
shape	all	Fold10	filamentous	3	0	5	388	0.6084644670262905
shape	all	Fold10	pleiomorphic cell	1	0	3	392	0.49809764687537406
shape	all	Fold10	spirillum	15	0	4	377	0.883846845658805
shape	all	Fold10	staphylococcus	0	0	1	395	0
shape	all	Fold10	tail	2	0	0	394	1
shape	all	Fold10	triangle	0	0	1	395	0
shape	all	Fold2	bacillus	296	0	17	84	0.8868550490496534
shape	all	Fold2	bent filament	0	0	1	396	0
shape	all	Fold2	clavate	0	0	2	395	0
shape	all	Fold2	coccobacillus	0	0	1	396	0
shape	all	Fold2	coccus	41	0	18	338	0.8122678681920149
shape	all	Fold2	discoid	0	0	1	396	0
shape	all	Fold2	elliptic	0	0	11	386	0
shape	all	Fold2	filamentous	2	0	4	391	0.5744195382359247
