Physiology	Rank	Fold	Attribute	TP	FP	FN	TN	MCC
sphingolipid_producing	all	Fold1	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	all	Fold10	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	all	Fold2	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	all	Fold3	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	all	Fold4	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	all	Fold5	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	all	Fold6	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	all	Fold7	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	all	Fold8	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	all	Fold9	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	genus	Fold1	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	genus	Fold10	Sphingolipid_producing	0	0	1	1	0
sphingolipid_producing	genus	Fold2	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	genus	Fold3	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	genus	Fold4	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	genus	Fold5	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	genus	Fold6	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	genus	Fold7	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	genus	Fold8	Sphingolipid_producing	0	0	2	2	0
sphingolipid_producing	genus	Fold9	Sphingolipid_producing	0	0	2	2	0
