Physiology	Rank	Fold	Attribute	TP	FP	FN	TN	MCC
spore_shape	all	Fold1	elliptic	1	0	4	66	0.4342481186734475
spore_shape	all	Fold1	endospore	63	0	7	1	0.33541019662496846
spore_shape	all	Fold10	cell chain	0	0	1	69	0
spore_shape	all	Fold10	coccus	0	0	3	67	0
spore_shape	all	Fold10	elliptic	0	0	1	69	0
spore_shape	all	Fold10	endospore	60	0	9	1	0.29488391230979427
spore_shape	all	Fold2	bacillus	0	0	3	68	0
spore_shape	all	Fold2	coccus	0	0	3	68	0
spore_shape	all	Fold2	elliptic	2	0	3	66	0.6185537128270866
spore_shape	all	Fold2	endospore	61	0	5	5	0.6797949780052895
spore_shape	all	Fold2	sigmoid	0	0	1	70	0
spore_shape	all	Fold2	spirillum	0	0	1	70	0
spore_shape	all	Fold3	bacillus	0	0	1	70	0
spore_shape	all	Fold3	coccus	0	0	2	69	0
spore_shape	all	Fold3	elliptic	0	0	2	69	0
spore_shape	all	Fold3	endospore	66	0	5	0	0
spore_shape	all	Fold4	coccus	0	0	3	68	0
spore_shape	all	Fold4	elliptic	0	0	6	65	0
spore_shape	all	Fold4	endospore	61	0	7	3	0.5187655029575728
spore_shape	all	Fold5	coccus	0	0	5	66	0
spore_shape	all	Fold5	elliptic	0	0	1	70	0
spore_shape	all	Fold5	endospore	62	0	8	1	0.3137079827047734
spore_shape	all	Fold6	coccus	0	0	4	67	0
spore_shape	all	Fold6	elliptic	0	0	4	67	0
spore_shape	all	Fold6	endospore	67	0	3	1	0.48916839052182665
spore_shape	all	Fold7	bacillus	0	0	1	70	0
spore_shape	all	Fold7	coccus	0	0	3	68	0
spore_shape	all	Fold7	elliptic	1	0	4	66	0.4342481186734475
spore_shape	all	Fold7	endospore	57	0	12	2	0.34352936171490267
spore_shape	all	Fold8	coccus	0	0	1	70	0
spore_shape	all	Fold8	elliptic	1	0	1	69	0.7020378500174638
spore_shape	all	Fold8	endospore	64	0	6	1	0.36140316116210053
spore_shape	all	Fold9	bacillus	0	0	1	69	0
spore_shape	all	Fold9	branched	0	0	1	69	0
spore_shape	all	Fold9	cell chain	0	0	1	69	0
spore_shape	all	Fold9	coccus	0	0	2	68	0
spore_shape	all	Fold9	elliptic	1	0	2	67	0.5689213456924789
spore_shape	all	Fold9	endospore	60	0	6	4	0.6030226891555273
spore_shape	genus	Fold1	cell chain	0	0	1	9	0
spore_shape	genus	Fold1	coccus	0	0	3	7	0
spore_shape	genus	Fold1	elliptic	0	0	3	7	0
spore_shape	genus	Fold1	endospore	9	0	0	1	1
spore_shape	genus	Fold10	bacillus	0	0	1	8	0
spore_shape	genus	Fold10	coccus	0	0	3	6	0
spore_shape	genus	Fold10	elliptic	1	0	2	6	0.5
spore_shape	genus	Fold10	endospore	7	0	0	2	1
spore_shape	genus	Fold2	coccus	0	0	3	7	0
spore_shape	genus	Fold2	elliptic	0	0	3	7	0
spore_shape	genus	Fold2	endospore	9	0	0	1	1
spore_shape	genus	Fold3	bacillus	0	0	1	9	0
spore_shape	genus	Fold3	coccus	0	0	1	9	0
spore_shape	genus	Fold3	elliptic	0	0	1	9	0
spore_shape	genus	Fold3	endospore	8	0	0	2	1
spore_shape	genus	Fold3	sigmoid	0	0	1	9	0
spore_shape	genus	Fold3	spirillum	0	0	1	9	0
spore_shape	genus	Fold4	coccus	0	0	3	7	0
spore_shape	genus	Fold4	elliptic	1	0	4	5	0.3333333333333333
spore_shape	genus	Fold4	endospore	9	0	0	1	1
spore_shape	genus	Fold5	bacillus	0	0	1	9	0
spore_shape	genus	Fold5	coccus	0	0	3	7	0
spore_shape	genus	Fold5	elliptic	0	0	4	6	0
spore_shape	genus	Fold5	endospore	7	0	0	3	1
spore_shape	genus	Fold6	bacillus	0	0	2	7	0
spore_shape	genus	Fold6	coccus	0	0	4	5	0
spore_shape	genus	Fold6	elliptic	2	0	1	6	0.7559289460184544
spore_shape	genus	Fold6	endospore	7	0	0	2	1
spore_shape	genus	Fold7	coccus	0	0	4	5	0
spore_shape	genus	Fold7	elliptic	1	0	4	4	0.31622776601683794
spore_shape	genus	Fold7	endospore	6	0	1	2	0.7559289460184544
spore_shape	genus	Fold8	bacillus	0	0	1	8	0
spore_shape	genus	Fold8	coccus	0	0	2	7	0
spore_shape	genus	Fold8	elliptic	1	0	2	6	0.5
spore_shape	genus	Fold8	endospore	7	0	0	2	1
spore_shape	genus	Fold9	branched	0	0	1	8	0
spore_shape	genus	Fold9	cell chain	0	0	1	8	0
spore_shape	genus	Fold9	elliptic	0	0	4	5	0
spore_shape	genus	Fold9	endospore	6	0	0	3	1
