nodes	trait1
root	75.9184052952916
internal_node_4	60.0355238962946
n19795	51.7066855945198
200940+57723+533205	43.35847280335
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	49.2830574940684
internal_node_13	42.9852543988602
internal_node_18	43.9393556520745
n19801	38.0827771517264
n19802	36.1281059914195
n19803	32.7257579627959
internal_node_24	24.596872799191
135618+1486721	29.657700438995
1775403	29.5129127145914
135613+1046	27.6738950931977
72276	27.5363955245799
internal_node_33	28.2905157262946
n19812	30.5317863808239
internal_node_39	30.6495507570332
118969+72273+135617	28.7413445967891
internal_node_43	26.0181898221474
135616	25.0785854692357
255527	26.7398574848396
n19818	27.9687154378293
135622+28256+72275	25.4528207419331
135620	25.0531857283904
n19821	27.1379467764362
n19823	23.9579038557933
267888	26.510970809038
n19825	25.4052365105415
n19827	30.4625415871476
n19828	32.550037193868
91347+543	33.2883426327602
internal_node_60	30.9480128498908
1903409+1903410+1903412	29.0603885041409
n19833	27.4190824158848
n19834	27.6928998770796
n19835	27.9774238956681
internal_node_73	31.2588296649697
internal_node_84	31.6439536833483
n19840	30.247111433413
n19841	32.5522024417915
n19842	34.7826790010778
n19843	34.4183237513082
internal_node_92	34.0671283976754
n19845	36.87040253428
n19847	36.6444889830626
internal_node_137	36.148801076189
n19864	37
n19865	37
n19866	37
n19867	37
n19870	35.5979827089337
n19878	31.9462172209203
n19880	37
n19904	35.4562239815118
internal_node_238	34.6261606994507
n19907	34.0093026820074
n19908	32.2843924715886
n19909	37
n19911	37
n19912	37
n19913	35.2563176895307
internal_node_283	28.8411942726325
n19921	29.0086690620658
n19928	29.5359779363023
n19930	34.7676854995782
n19931	29.1413919413919
n19952	29.2656831073747
n19960	30
n19972	28.8055490242182
n19984	32.8202150875718
n19985	33.3175031692173
n19986	33.5237245808063
internal_node_473	33.1457286432161
n20047	30
n20066	27
internal_node_621	26.6379440920351
n20071	27.2738864785082
n20072	27.8391227205882
n20074	27.9924981245311
n20089	26
internal_node_683	26
n20098	26
n20109	26
n20121	26.9063652237391
n20122	27.7350121584662
internal_node_745	29.056305593592
n20132	29.9092352896694
n20137	28.9468807602787
n20139	29.6552542835671
n20140	29.0873762173318
n20141	29.8718393395965
n20142	29.5802303616651
n20144	29.2635957355158
n20148	31.2798742138365
n20169	28.767274737424
n20172	27.0763260025873
n20178	25.9033470738851
n20179	25.8716201569813
n20180	26.8645303867403
n20190	31.1665998441107
1903414	32.8046996618197
n20192	35.3516278219577
internal_node_903	37
internal_node_909	37
internal_node_912	37
n20201	37
n20202	37
n20203	37
n20204	37
n20236	37
n20252	37
n20254	37
n20265	37
n20271	37
n20275	37
n20321	34.8506376282024
n20329	28
internal_node_1356	37
n20381	37
internal_node_1381	29.9313105980949
n20391	35.3491131142378
n20392	31.9651347068146
internal_node_1414	29.8120104438642
n20416	33.1216030056356
n20422	31.8620369721251
n20423	35.3384145359849
internal_node_1490	35.2386702587373
n20425	33.626975558752
n20427	35.4057559789218
n20452	28.8147354869581
n20454	27.7247706422018
n20455	30
