nodes	trait1
root	74.3643|76.7342
internal_node_4	58.9709|60.0765
n19795	50.0173|51.1991
200940+57723+533205	42.0379|43.3347
1239+186801+91061+1385+3039167+68295+186814+3039168+539003	47.9476|49.2725
internal_node_13	41.0201|42.3738
internal_node_18	43.3329|44.2777
n19801	37.8542|38.9262
n19802	36.545|37.5595
n19803	34.9138|36.337
internal_node_24	27.8405|29.6312
1775403	28.5649|30.1591
135613+1046	26.3929|27.6216
72276	25.9122|27.2627
internal_node_33	27.4352|28.4673
n19812	29.8802|31.2117
internal_node_39	30.2499|31.0843
118969+72273+135617	28.3405|29.2814
internal_node_43	25.4348|26.7351
135616	24.6659|25.6172
255527	26.3332|27.2366
n19818	27.5311|28.6723
135622+28256+72275	25.299|26.2005
135620	24.9918|26.1104
n19821	27.3739|28.778
n19823	23.333|24.7707
267888	25.6507|26.6739
n19825	24.2962|25.2655
135624+84642	28.1431|29.5191
n19827	29.7725|30.8796
n19828	31.8336|32.8753
91347+543	32.7257|33.8551
internal_node_60	30.5633|31.3395
1903409+1903410+1903412	28.648|29.4839
n19833	26.9583|27.8689
n19834	27.4805|28.0365
n19835	27.7489|28.3609
internal_node_73	31.3446|32.1713
internal_node_84	31.7827|32.4304
n19840	29.9698|30.7103
n19841	32.3563|33.199
n19842	34.9722|35.7472
n19843	36.4164|37.4024
internal_node_92	36.4412|37.3237
n19845	36.3666|37.2294
internal_node_137	35.9757|36.2826
n19864	36.7956|37.2044
n19865	36.868|37.132
n19867	36.8444|37.1556
n19870	35.3671|35.8289
n19880	36.7852|37.2148
n19884	36.8813|37.1187
n19902	36.5693|37.4307
internal_node_238	31.7849|32.4004
n19907	33.5496|34.2744
n19908	31.8044|32.3967
n19909	36.6803|37.3197
internal_node_283	28.3513|29.3311
n19921	28.4758|29.5416
n19928	29.2933|29.7787
n19930	34.4048|35.1306
n19931	28.8176|29.4652
n19952	28.596|29.5956
n19972	28.4013|29.2097
n19984	33.1433|33.9781
n19985	34.1313|34.7806
internal_node_473	32.9144|33.3771
n20031	29.029|30.0362
n20066	26.9272|27.0728
internal_node_621	26.335|27.0053
n20071	26.9911|27.5661
n20072	27.3146|28.3775
n20089	25.7569|26.2431
internal_node_683	25.6483|26.4719
n20098	25.6666|26.6554
n20106	25.8159|26.5244
n20109	25.5216|26.4784
n20121	26.4163|27.1151
n20122	27.3859|28.0844
