"rank"	"attribute_group"	"attribute"	"attribute_auc"	"attribute_group_auc"
"shape_all"	"shape"	"bacillus"	0.84	0.65
"shape_all"	"shape"	"bent filament"	0.5	0.65
"shape_all"	"shape"	"clavate"	0.5	0.65
"shape_all"	"shape"	"coccobacillus"	0.5	0.65
"shape_all"	"shape"	"coccus"	0.81	0.65
"shape_all"	"shape"	"discoid"	0.49	0.65
"shape_all"	"shape"	"elliptic"	0.49	0.65
"shape_all"	"shape"	"filamentous"	0.64	0.65
"shape_all"	"shape"	"flat"	0.75	0.65
"shape_all"	"shape"	"pleiomorphic cell"	0.78	0.65
"shape_all"	"shape"	"sigmoid"	0.5	0.65
"shape_all"	"shape"	"spirillum"	0.85	0.65
"shape_all"	"shape"	"staphylococcus"	0.5	0.65
"shape_all"	"shape"	"tail"	1	0.65
"shape_all"	"shape"	"triangle"	0.75	0.65
"shape_all"	"shape"	"u-shaped"	0.5	0.65
"shape_gn"	"shape"	"bacillus"	0.69	0.55
"shape_gn"	"shape"	"bent filament"	0.5	0.55
"shape_gn"	"shape"	"clavate"	0.5	0.55
"shape_gn"	"shape"	"coccobacillus"	0.53	0.55
"shape_gn"	"shape"	"coccus"	0.68	0.55
"shape_gn"	"shape"	"discoid"	0.49	0.55
"shape_gn"	"shape"	"elliptic"	0.47	0.55
"shape_gn"	"shape"	"filamentous"	0.53	0.55
"shape_gn"	"shape"	"pleiomorphic cell"	0.58	0.55
"shape_gn"	"shape"	"rectangle"	0.5	0.55
"shape_gn"	"shape"	"spirillum"	0.69	0.55
"shape_gn"	"shape"	"triangle"	0.49	0.55
"shape_sp"	"shape"	"bacillus"	0.91	0.81
"shape_sp"	"shape"	"coccus"	0.95	0.81
"shape_sp"	"shape"	"filamentous"	0.49	0.81
"shape_sp"	"shape"	"spirillum"	0.99	0.81
"shape_sp"	"shape"	"staphylococcus"	0.5	0.81
"shape_sp"	"shape"	"tail"	1	0.81
"shape_st"	"shape"	"bacillus"	0.95	0.92
"shape_st"	"shape"	"coccus"	0.95	0.92
"shape_st"	"shape"	"filamentous"	0.83	0.92
"shape_st"	"shape"	"spirillum"	0.95	0.92
"spore_shape_all"	"shape"	"bacillus"	0.5	0.51
"spore_shape_all"	"shape"	"coccus"	0.49	0.51
"spore_shape_all"	"shape"	"elliptic"	0.46	0.51
"spore_shape_all"	"shape"	"endospore"	0.6	0.51
"spore_shape_all"	"shape"	"sigmoid"	0.5	0.51
"spore_shape_gn"	"shape"	"bacillus"	0.48	0.47
"spore_shape_gn"	"shape"	"coccus"	0.48	0.47
"spore_shape_gn"	"shape"	"elliptic"	0.47	0.47
"spore_shape_gn"	"shape"	"endospore"	0.42	0.47
"spore_shape_gn"	"shape"	"spirillum"	0.5	0.47
