physiology	rank	method	attribute	mean	sd
shape	all	phytools-ltp	bacillus	0.53970629637985	0.0715852199928048
shape	all	phytools-ltp	coccobacillus	-0.00206357260416301	0.0034307881184788
shape	all	phytools-ltp	coccus	0.633737653873963	0.0651887125836239
shape	all	phytools-ltp	elliptic	0.265578838349895	0.30823713095137
shape	all	phytools-ltp	filamentous	0.235280031637757	0.281535559443356
shape	all	phytools-ltp	spirillum	0.696996883370746	0.119971406634958
shape	all	phytools-ltp	tail	1	7.40148683083438e-17
shape	genus	phytools-ltp	bacillus	0.313350101281449	0.0788694507900358
shape	genus	phytools-ltp	coccobacillus	-0.0048243315821314	0.00632092760329192
shape	genus	phytools-ltp	coccus	0.440297361678046	0.122557252285659
shape	genus	phytools-ltp	elliptic	0.236768528314533	0.268252634650295
shape	genus	phytools-ltp	filamentous	0.162941228299083	0.281622924487975
shape	genus	phytools-ltp	spirillum	0.35964553620609	0.269060853779071
shape	species	phytools-ltp	bacillus	0.98176532197689	0.0415088451822273
shape	species	phytools-ltp	coccus	0.832382509072304	0.0802779381707908
shape	species	phytools-ltp	spirillum	1	1.88701628900123e-16
shape	species	phytools-ltp	tail	1	1.33432201416224e-16
shape	spore	shape	phytools-ltp	0.0186391184581546	0.20109157807941
shape	strain	phytools-ltp	bacillus	0.691691070282632	0.171392577842464
shape	strain	phytools-ltp	coccus	0.675069667861117	0.212596219854692
shape	strain	phytools-ltp	filamentous	0.626116172964072	0.457560794290247
shape	strain	phytools-ltp	spirillum	0.620238470414621	0.444424102725458
