Physiology	Rank	Fold	Attribute	TP	FP	FN	TN	MCC
width	all	Fold1	average	0	0	14	67	0
width	all	Fold1	large	0	0	1	80	0
width	all	Fold1	small	47	0	19	15	0.5605096992868654
width	all	Fold10	average	13	0	0	66	1
width	all	Fold10	large	1	0	0	78	1
width	all	Fold10	small	65	0	0	14	1
width	all	Fold2	average	14	0	0	67	1
width	all	Fold2	large	1	0	0	80	1
width	all	Fold2	small	66	0	0	15	1
width	all	Fold3	average	14	0	0	66	1
width	all	Fold3	large	1	0	0	79	1
width	all	Fold3	small	65	0	0	15	1
width	all	Fold4	average	14	0	0	66	1
width	all	Fold4	large	1	0	0	79	1
width	all	Fold4	small	65	0	0	15	1
width	all	Fold5	average	14	0	0	66	1
width	all	Fold5	large	1	0	0	79	1
width	all	Fold5	small	65	0	0	15	1
width	all	Fold6	average	14	0	0	66	1
width	all	Fold6	large	1	0	0	79	1
width	all	Fold6	small	65	0	0	15	1
width	all	Fold7	average	13	0	0	65	1
width	all	Fold7	large	1	0	0	77	1
width	all	Fold7	small	65	0	0	13	1
width	all	Fold8	average	13	0	0	66	1
width	all	Fold8	large	1	0	0	78	1
width	all	Fold8	small	65	0	0	14	1
width	all	Fold9	average	13	0	0	66	1
width	all	Fold9	large	1	0	0	78	1
width	all	Fold9	small	65	0	0	14	1
