Physiology	Rank	Attribute	meanTP	sdTP	meanFP	sdFP	meanFN	sdFN	meanTN	sdTN	meanMCC	sdMCC
width_all_Fold1	NA	NA	59	NA	0	NA	21	NA	0	NA	0	NA
width_all_Fold10	NA	NA	53	NA	0	NA	26	NA	0	NA	0	NA
width_all_Fold2	NA	NA	54	NA	0	NA	26	NA	0	NA	0	NA
width_all_Fold3	NA	NA	57	NA	0	NA	23	NA	0	NA	0	NA
width_all_Fold4	NA	NA	57	NA	0	NA	23	NA	0	NA	0	NA
width_all_Fold5	NA	NA	61	NA	0	NA	19	NA	0	NA	0	NA
width_all_Fold6	NA	NA	55	NA	0	NA	25	NA	0	NA	0	NA
width_all_Fold7	NA	NA	57	NA	0	NA	23	NA	0	NA	0	NA
width_all_Fold8	NA	NA	61	NA	0	NA	19	NA	0	NA	0	NA
width_all_Fold9	NA	NA	58	NA	0	NA	21	NA	0	NA	0	NA
