#OTU_IDs	trait1
Bogoriella_caseilytica-_-Y09911--_HIK_0088_T	1.702548228814061
Oxalicibacterium_solurbis-_-AB681897--_NBRC_102665_T	1.9312897402234106
Thalassotalea_algicola-_-MN822801--_M1531T	2.883579552023514
Streptomyces_rutgersensis-_-AB184170--_NBRC_12819_T	1.4239124749789762
Nocardia_elegans-_-AJ854057--_IMMIB_N-402_T	1.1842420351193104
Nocardia_artemisiae-_-GU367157--_YIM_65623_T	2.115182513537793
Myroides_ceti-_-AM292800--_454-2_T	3.1115014480646224
Gloeomargarita_lithophora-_-CP017675--_D10_T	2.5645954001570126
g__207244	1.0175452947088037
Micromonospora_echinaurantiaca-_-X92618--_DSM_43904_T	1.6799061031307188
Sunxiuqinia_rutila-_-AB851476--_HG677_T	3.2717758026340498
g__2894767	1.670135830085423
g__2894762	2.5506080920777845
g__2820419	1.3537802336215692
Litoreibacter_halocynthiae-_-JX644172--_P-MA1-7_T	1.9801952209290454
Hymenobacter_defluvii-_-KY883691--_POA9_T	1.7206381062455838
Coraliomargarita_akajimensis-_-CP001998--_DSM_45221_T	3.4565575379712588
Qipengyuania_sphaerica-_-MZ749498--_GH29T	0.7086961643480757
Burkholderia_ubonensis-_-AB030584--_GTC-P3-415_T	1.3459691909881817
Methanotorris_formicicus-_-AGJL01000032--_Mc-S-70_T	1.6090132176740117
Corallococcus_coralloides-_-AJ811588--_DSM_2259_T	1.2997496065045935
Chitinophaga_costaii-_-KC922450--_A37T2_T	3.28586391957188
Belnapia_moabensis-_-AJ871428--_CP2C_T	2.1629985498731066
Komagataeibacter_hansenii-_-X75620--_NCIB8746-_LMG1527_T	0.7373332682231364
Enterocloster_bolteae-_-AJ508452--_16351_T	2.0980167390900295
Janibacter_hoylei-_-FR749912--_DSM_21601_T	1.5869209129143866
Dietzia_aurantiaca-_-FR821260--_CCUG_35676_T	1.7392829607203255
Flavobacterium_lacisediminis-_-OP422636--_TH16-21T	2.3591566770532197
Lysobacter_erysipheiresistens-_-KT001243--_RS-LYSO-3_T	2.7073293876358617
Dickeya_poaceiphila-_-MT226771--_NCPPB-569_T	1.0429143938970582
Paraburkholderia_pallidirosea-_-KP938221--_DHOK13_T	1.3677035360078706
Kaistella_daneshvariae-_-CP034158--_H3001_T	2.070542425515409
