sequence	trait1	metadata_NSTI
Abditibacterium_utsteinense-_-KY386500--_R-68213_T	37.7625910128196	0.491901
Absicoccus_porci-_-MG931004--_YH-PanP20_T	36.970984087867	0.142271
Abyssalbus_ytuae-_-ON495953--_MT3330T	26.8983012581277	0.151492
Abyssibacter_profundi-_-KY612316--_OUC007_T	27.6424005877004	0.156601
Abyssibius_alkaniclasticus-_-OK489460--_960558T	26.7918347810771	0.166241
Abyssicoccus_albus-_-KT935587--_LIPI11-2-Ac043_T	33.2781204235942	0.11764
Abyssivirga_alkaniphila-_-KP233895--_L81_T	37.5678257886531	0.183081
Acanthopleuribacter_pedis-_-AB303221--_NBRC_101209_T	35.4870566011107	0.262422
Acerihabitans_arboris-_-MN737198--_SAP-6_T	29.2034818589876	0.094721
Acetanaerobacterium_elongatum-_-AY487928--_Z7_T	38.4017143018885	0.173041
Acetatifactor_muris-_-HM989805--_CT-m2_T	36.6953264064514	0.181341
Acetilactobacillus_jinshanensis-_-KT783533--_HSLZ-75_T	29.7518745468906	0.160501
Acetitomaculum_ruminis-_-M59083--_139B-_ATCC_43876_T	36.6953264064514	0.174021
Acetivibrio_aldrichii-_-X71846--_DSM_6159_T	40.685133797247	0.03112
Acetivibrio_alkalicellulosi-_-AY959944--_Z-7026_T	44.3950201148134	0.09005
Acetivibrio_ethanolgignens-_-FR749897--_DSM_3005_T	36.5438040329209	0.16502
Acetivibrio_mesophilus-_-MK138666--_N2K1_T	44.3950201148134	0.09123
Acetivibrio_saccincola-_-LN868252--_GGR1_T	46.1322210331414	0.12525
Acetivibrio_straminisolvens-_-AB125279--_CSK1_T	44.3950201148134	0.06778
Acetivibrio_thermocellus-_-CP000568--_ATCC_27405_T	44.3950201148134	0.07514
Acetoanaerobium_noterae-_-GU562448--_ATCC_35199_T	40.9225442546168	0.18001
Acetoanaerobium_pronyense-_-KJ174056--_ST07-YE_T	40.9225442546168	0.15339
Acetoanaerobium_sticklandii-_-FP565809--_DSM_519_T	40.9225442546168	0.13949
Acetobacter_cerevisiae-_-AJ419843--_LMG_1625_T	29.9730185261672	0.00361
Acetobacter_cibinongensis-_-AB681085--_NBRC_16605_T	29.9730185261672	0.04181
Acetobacter_conturbans-_-MN744433--_LMG_1627__T	29.9705168024304	0.00865
Acetobacter_estunensis-_-AJ419838--_LMG_1626_T	29.8763979390871	0.02525
Acetobacter_fabarum-_-AM905849--_R-36330=985=LMG_24244_T	29.9323377652645	0.01227
Acetobacter_fallax-_-MN744434--_LMG_1636__T	29.9730185261672	0.03178
Acetobacter_farinalis-_-AB602333--_G360-1_LTP__T	29.9730185261672	0.00935
Acetobacter_garciniae-_-MW680864--_MS16-SU-2T	29.9730185261672	0.04473
Acetobacter_ghanensis-_-EF030713--_430A_T	29.9323377652645	0.00721
Acetobacter_indonesiensis-_-AB681067--_NBRC_16471_T	29.9730185261672	0.02018
Acetobacter_lambici-_-HF969863--_LMG_27439_T	29.9323377652645	0.0036
Acetobacter_lovaniensis-_-AB032351--_NBRC_13753_-=_IFO_13753-_T	29.9323377652645	0.01514
Acetobacter_malorum-_-AJ419844--_LMG_1746_T	29.9730185261672	0.00504
Acetobacter_musti-_-HM162854--_Bo7_T	29.9730185261672	0.02384
Acetobacter_oeni-_-AY829472--_B13_T	29.9730185261672	0.02674
Acetobacter_orientalis-_-AB681086--_NBRC_16606_T	29.9730185261672	0.02162
Acetobacter_orleanensis-_-AB032350--_NBRC_13752_-=_IFO_13752-_T	29.9730185261672	0.00576
Acetobacter_oryzifermentans-_-CP011120--_SLV-7_n_T	29.9522064869453	0.00649
Acetobacter_oryzoeni-_-MK367404--_B6_T	29.9522064869453	0.00577
Acetobacter_pasteurianus-_-GU205100--_LMG_1591_T	29.9522064869453	0.0065
Acetobacter_pomorum-_-AJ419835--_LMG_18848_T	29.9522064869453	0.00794
Acetobacter_sacchari-_-LC103252--_VTH-Ai14_T	29.9730185261672	0.01376
Acetobacter_senegalensis-_-AY883036--_CWBI-B418_T	29.9730185261672	0.0334
Acetobacter_sicerae-_-AJ419840--_LMG_1531_T	29.9705168024304	0.00648
Acetobacter_suratthaniensis-_-AB937774--_BCC_26087_T	29.9522064869453	0.00952
Acetobacter_syzygii-_-AB681084--_NBRC_16604_T	29.9323377652645	0.00865
Acetobacter_thailandicus-_-AB937775--_BCC_15839_T	29.8763979390871	0.02888
Acetobacter_tropicalis-_-AB032355--_NRIC_0312_T	29.9730185261672	0.02666
Acetobacter_vaccinii-_-MN121517--_KACC21233_T	29.9323377652645	0.01733
Acetobacterium_bakii-_-X96960--_DSM_8239_T	35.8911438950827	0.06639
Acetobacterium_carbinolicum-_-X96956--_DSM_2925_T	35.8911438950827	0.04108
Acetobacterium_fimetarium-_-X96959--_DSM_8238_T	35.8911438950827	0.04178
Acetobacterium_malicum-_-X96957--_DSM_4132_T	35.8911438950827	0.03682
Acetobacterium_paludosum-_-X96958--_DSM_8237_T	35.8911438950827	0.06931
Acetobacterium_tundrae-_-AJ297449--_DSM_9173_T	35.8911438950827	0.07712
Acetobacterium_wieringae-_-X96955--_DSM_1911_T	35.8911438950827	0.03034
Acetobacteroides_hydrogenigenes-_-AB611036--_RL-C_T	30.2580831834595	0.230861
Acetomicrobium_flavidum-_-FR733692--_DSM20664_T	51.0218704676177	0.00212
Acetomicrobium_hydrogeniformans-_-FJ862996--_OS1_T	51.0218704676177	0.04081
Acetomicrobium_thermoterrenum-_-U50711--_RWcit_T	51.0218704676177	0.04432
Acholeplasma_axanthum-_-AUAL01000024--_ATCC_25176_T	36.5685543159456	0.27623
Acholeplasma_brassicae-_-AY538163--_0502_T	36.5685543159456	0.25253
Acholeplasma_cavigenitalium-_-AY538164--_GP3_T	36.5685543159456	0.31101
Acholeplasma_equifetale-_-AY538165--_C112_T	36.5685543159456	0.30174
Acholeplasma_equirhinis-_-EU925159--_N93_T	36.5685543159456	0.30656
Acholeplasma_granularum-_-AY538166--_BTS-39_T	36.5685543159456	0.32137
Acholeplasma_hippikon-_-AY538167--_C1_T	36.5685543159456	0.30603
Acholeplasma_laidlawii-_-AB680603--_NBRC_14400_T	36.5685543159456	0.32059
Acholeplasma_modicum-_-M23933--_PG_49-_ATCC_29102_T	36.5685543159456	0.28568
Acholeplasma_morum-_-AY538168--_72-043_T	36.5685543159456	0.25984
Acholeplasma_multilocale-_-FJ595100--_ATCC_49900_T	28.2229398407189	0.0962
Acholeplasma_oculi-_-U14904--_19L_ATCC_27350_T	36.5685543159456	0.3305
Acholeplasma_palmae-_-FO681347--_J233_T	36.5685543159456	0.23691
Acholeplasma_parvum-_-AY538170--_H23M_T	36.5685543159456	0.24905
Acholeplasma_pleciae-_-AB681174--_NBRC_100476_T	36.5685543159456	0.32487
Acholeplasma_vituli-_-AF031479--_FC-097_T	36.5685543159456	0.27759
Achromobacter_aegrifaciens-_-HF586507--_LMG_26852_T	36.9252691508411	0.0105
Achromobacter_agilis-_-HG324050--_LMG_3411_T	36.9252691508411	0.0028
Achromobacter_aloeverae-_-LC094463--_AVA-1_T	36.4477017480451	0.02534
Achromobacter_animicus-_-HE613448--_R-46662_T	36.9252691508411	0.0119
Achromobacter_anxifer-_-HF586508--_LMG_26857_T	36.9252691508411	0.00281
Achromobacter_deleyi-_-HG324053--_LMG_3458_T	36.9252691508411	0.01541
Achromobacter_dolens-_-HF586509--_LMG_26840_T	36.9252691508411	0.00281
Achromobacter_insolitus-_-AY170847--_LMG_6003_T	36.9252691508411	0.0063
Achromobacter_insuavis-_-HF586506--_LMG_26845_T	36.9252691508411	0.00701
Achromobacter_kerstersii-_-HG324052--_LMG_3441_T	36.9252691508411	0.01541
Achromobacter_marplatensis-_-HE613447--_R-46660_T	36.9252691508411	0.014
Achromobacter_mucicolens-_-HE613446--_R-46658_T	36.9252691508411	0.014
Achromobacter_pestifer-_-HG324051--_LMG_3431_T	36.9252691508411	0.0175
Achromobacter_piechaudii-_-AB010841--_EY3860_=_ATCC43552_T	36.9252691508411	0.01921
Achromobacter_pulmonis-_-HE798552--_R-16442_T	36.9252691508411	0.0063
Achromobacter_ruhlandii-_-AB010840--_EY3918_=_ATCC15749_T	36.9252691508411	0.00905
Achromobacter_spanius-_-AY170848--_LMG_5911_T	36.9252691508411	0.01541
Achromobacter_veterisilvae-_-LT976503--_LMG_30378_T	36.4477017480451	0.00491
Acidaminobacter_hydrogenoformans-_-AF016691--_glu_65_T	40.6652925560526	0.174301
Acidaminococcus_fermentans-_-CP001859--_DSM_20731_T	37.110979290283	0.07214
Acidaminococcus_hominis-_-OL617415--_NSJ-142T	37.110979290283	0.05064
Acidianus_ambivalens-_-D85506--_DSM3772_T	72.4621203407445	0.07425
Acidianus_brierleyi-_-X90477--_DSM_1651_T	72.4621203407445	0.12313
Acidianus_infernus-_-D85505--_DSM3191_T	72.4621203407445	0.0728
Acidibacter_ferrireducens-_-JX412366--_MCF85_T	29.708673947157	0.185492
Acidibrevibacterium_fodinaquatile-_-KY777995--_G45-3_T	34.3529858177481	0.113011
Acidicaldus_organivorans-_-AY140238--_Y008_T	34.3529858177481	0.146801
Acidicapsa_acidiphila-_-KF017280--_MCF10_T	35.4870566011107	0.10948
Acidicapsa_acidisoli-_-LC027464--_SK-11_T	35.4870566011107	0.10167
Acidicapsa_borealis-_-FR774763--_KA1_=_DSM_23886_T	35.4870566011107	0.10642
Acidicapsa_dinghuensis-_-MF150300--_4GSKX_T	35.4870566011107	0.09093
Acidicapsa_ferrireducens-_-KC662255--_MCF9_T	35.4870566011107	0.10538
Acidicapsa_ligni-_-EU780204--_WH120_T	35.4870566011107	0.10366
Acididesulfobacillus_acetoxydans-_-NR_184592--_INE_/type_materialtype_strain_of_AcididesulfobacillusacetoxydansT	33.0968664494679	0.095131
Acidiferrimicrobium_australe-_-MF503098--_USS-CCA1_T	37.0456386055708	0.123732
Acidiferrobacter_thiooxydans-_-AF387301--_m-1-_DSM_2392_T	29.708673947157	0.196512
Acidihalobacter_aeolianus-_-CP017448--_V6_T	24.2948603022084	0.09804
Acidihalobacter_ferrooxydans-_-CP019434--_V8_n_T	24.2948603022084	0.11745
Acidihalobacter_yilgarnensis-_-JQSG02000006--_DSM_5130_T	24.2948603022084	0.10436
Acidilobus_aceticus-_-AF191225--_Z-1904_T	81.7258147047258	0.02767
Acidiluteibacter_ferrifornacis-_-MN240441--_S-15_T	24.4508533086291	0.195792
Acidilutibacter_cellobiosedens-_-MN389521--_JN-28T	47.6077371918123	0.188351
Acidimangrovimonas_pyrenivorans-_-MF774691--_PrR001_T	27.5728812367523	0.0698
Acidimangrovimonas_sediminis-_-KX099618--_MS2-2_T	27.5728812367523	0.05586
Acidiphilium_acidophilum-_-D86511--_ATCC27807_T	34.3529858177481	0.18246
Acidiphilium_angustum-_-D30772--_ATCC_35903_T	34.3529858177481	0.17751
Acidiphilium_cryptum-_-D30773--_ATCC_33463_T	34.3529858177481	0.1463
Acidiphilium_iwatense-_-AB561883--_MS8_T	34.3529858177481	0.16729
Acidiphilium_multivorum-_-AB006711--_AIU_301_T	34.3529858177481	0.14701
Acidiphilium_organovorum-_-D30775--_ATCC_43141_T	34.3529858177481	0.14845
Acidiphilium_rubrum-_-D30776--_ATCC_35905_T	34.3529858177481	0.17751
Acidipila_rosea-_-AB561884--_AP8_T	27.0324905926256	0.069792
Acidiplasma_aeolicum-_-AM943980--_DSM_18409_=_JCM_14615_T	57.4087000691888	0.12505
Acidiplasma_cupricumulans-_-AY907888--_BH2_T	57.4087000691888	0.12501
Acidipropionibacterium_acidipropionici-_-AJ704570--_NCFB_570_T	34.4624019913536	0.08958
Acidipropionibacterium_damnosum-_-JQ283461--_IGBL13_T	34.4624019913536	0.09846
Acidipropionibacterium_jensenii-_-AJ704571--_DSM_20535_T	34.4624019913536	0.09928
Acidipropionibacterium_microaerophilum-_-AF234623--_M5_T	34.4624019913536	0.09637
Acidipropionibacterium_olivae-_-JQ283460--_IGBL1_T	34.4624019913536	0.09702
Acidipropionibacterium_thoenii-_-AJ704572--_NCFB_568_T	34.4624019913536	0.10063
Acidipropionibacterium_virtanenii-_-MG596783--_JS278_T	34.4624019913536	0.08096
Acidisarcina_polymorpha-_-MH396772--_SBC82T	27.0324905926256	0.075212
Acidisoma_cellulosilyticum-_-MW463051--_HW_T5.17_T	34.3529858177481	0.14201
Acidisoma_sibiricum-_-AM947653--_TPB606_T	34.3529858177481	0.13885
Acidisoma_silvae-_-MW463052--_HW_T2.11_T	34.3529858177481	0.13154
Acidisoma_tundrae-_-AM947652--_WM1_T	34.3529858177481	0.13312
Acidisphaera_rubrifaciens-_-D86512--_HS-AP3_T	34.3529858177481	0.099361
Aciditerrimonas_ferrireducens-_-AB517669--_IC-180_T	37.0456386055708	0.104042
Acidithiobacillus_albertensis-_-KF537578--_DSM_14366_T	28.5600395990467	0.00279
Acidithiobacillus_ferrianus-_-MN733279--_MG_T	28.5600395990467	0.01814
Acidithiobacillus_ferridurans-_-AJ278719--_ATCC33020_T	28.5600395990467	0.01841
Acidithiobacillus_ferriphilus-_-KR905751--_M20_T	28.5600395990467	0.01141
Acidithiobacillus_sulfuriphilus-_-MK193868--_CJ-2_T	37.378001415674	0.03699
Acidithrix_ferrooxidans-_-KC208497--_Py-F3T	37.0456386055708	0.122482
Acidobacterium_ailaaui-_-KX306477--_PMMR2_T	27.0324905926256	0.038792
Acidocella_aluminiidurans-_-AB362219--_AL46_T	34.3529858177481	0.17558
Acidocella_aminolytica-_-D30771--_101_T	34.3529858177481	0.1807
Acidocella_aquatica-_-LC199502--_OK2G_T	34.3529858177481	0.15871
Acidocella_aromatica-_-KC590088--_PFBC_T	34.3529858177481	0.1869
Acidocella_facilis-_-D30774--_ATCC_35904_T	34.3529858177481	0.17703
Acidomonas_methanolica-_-X77468--_LMG_1668_T	29.81615004029	0.053461
Acidovorax_anthurii-_-AJ007013--_CFBP_3232_LTP__T	23.2550118729832	0.03943
Acidovorax_avenae-_-AF137505--_ICMP_3183_T	23.2550118729832	0.00211
Acidovorax_caeni-_-AM084006--_R-24608_T	23.2550118729832	0.03867
Acidovorax_carolinensis-_-EU910093--_NA3_T	21.0664975534099	0.01189
Acidovorax_cattleyae-_-AF137504--_ICMP_2826_T	23.2550118729832	0.0028
Acidovorax_citrulli-_-AF137506--_ICMP_7500_T	23.2550118729832	0.0021
Acidovorax_defluvii-_-Y18616--_BSB411_T	21.0664975534099	0.01468
Acidovorax_facilis-_-AF078765--_CCUG_2113_T	25.9201335996418	0.02665
Acidovorax_kalamii-_-KY425604--_KNDSW-TSA6_T	21.0664975534099	0.01962
Acidovorax_lacteus-_-KY287949--_M36_T	23.2550118729832	0.04533
Acidovorax_monticola-_-KY313411--_K-4-16_T	23.2550118729832	0.04368
Acidovorax_soli-_-FJ599672--_BL21_T	21.0664975534099	0.02113
Acidovorax_temperans-_-AF078766--_CCUG_11779_T	23.2550118729832	0.03226
Acidovorax_valerianellae-_-AJ431731--_CFBP_4730_T	23.2550118729832	0.04071
Acidovorax_wautersii-_-JQ946365--_NF1078_T	23.2550118729832	0.01961
Acinetobacter_albensis-_-KR611794--_ANC_3931_T	29.5958123771578	0.06147
Acinetobacter_amyesii-_-ON598627--_ANC5579T	29.0978993702198	0.04259
Acinetobacter_apis-_-JX402203--_HYN18_T	29.8765539142301	0.02375
Acinetobacter_baretiae-_-MN709041--_B10A_T	29.8765539142301	0.03586
Acinetobacter_baumannii-_-X81660--_DSM_30007_LTP__T	29.4345356935537	0.05045
Acinetobacter_beijerinckii-_-AJ626712--_NIPH_838_=_LUH_4759_T	29.1056787206842	0.01735
Acinetobacter_boissieri-_-JQ771141--_SAP_284.1_T	29.8765539142301	0.0322
Acinetobacter_calcoaceticus-_-AJ888983--_NCCB_22016_T	29.1033240509955	0.05194
Acinetobacter_celticus-_-KX548337--_ANC_3831_T	29.4291013568744	0.02248
Acinetobacter_chengduensis-_-MK796535--_WCHAc060005_T	29.141879539102	0.06312
Acinetobacter_chinensis-_-CP032134--_WCHAc010005_T	29.141879539102	0.04274
Acinetobacter_courvalinii-_-KT997472--_ANC_3623_T	29.4345356935537	0.07983
Acinetobacter_cumulans-_-CP035934--_WCHAc060092_T	29.141879539102	0.05464
Acinetobacter_defluvii-_-KY435933--_WCHA30_T	29.141879539102	0.0287
Acinetobacter_dispersus-_-KT997473--_ANC_4105_T	29.2787288613328	0.04332
Acinetobacter_entericus-_-OP713786--_BIT-DXN8_/type_materialtype_strain_of_Acinetobacter_entericusT	29.5232504473133	0.01559
Acinetobacter_equi-_-KC494698--_114_T	29.8118945740274	0.04264
Acinetobacter_gandensis-_-KM206131--_UG_60467_T	29.141879539102	0.07816
