sequence	trait1	metadata_NSTI
Abditibacterium_utsteinense-_-KY386500--_R-68213_T	6.44477806546597	0.511101
Abiotrophia_defectiva-_-D50541--_GIFU12707_-ATCC49176-_T	7.08860531466451	0.152951
Absicoccus_porci-_-MG931004--_YH-PanP20_T	6.42556402848335	0.127822
Abyssalbus_ytuae-_-ON495953--_MT3330T	6.9468622991627	0.166861
Abyssibacter_profundi-_-KY612316--_OUC007_T	6.32254448739796	0.222181
Abyssibius_alkaniclasticus-_-OK489460--_960558T	7.02841499747641	0.256312
Abyssicoccus_albus-_-KT935587--_LIPI11-2-Ac043_T	7.08860531466451	0.18789
Abyssivirga_alkaniphila-_-KP233895--_L81_T	6.65723907094443	0.183081
Acanthopleuribacter_pedis-_-AB303221--_NBRC_101209_T	6.44477806546597	0.458091
Acaricomes_phytoseiuli-_-AQXM01000028--_DSM_14247_T	7.98440107374799	0.190201
Acerihabitans_arboris-_-MN737198--_SAP-6_T	7.0246366271652	0.094721
Acetanaerobacterium_elongatum-_-AY487928--_Z7_T	6.59898537769588	0.226561
Acetatifactor_muris-_-HM989805--_CT-m2_T	6.02019934711536	0.186131
Acetilactobacillus_jinshanensis-_-KT783533--_HSLZ-75_T	6.13368566968747	0.160501
Acetitomaculum_ruminis-_-M59083--_139B-_ATCC_43876_T	6.02019934711536	0.178811
Acetivibrio_aldrichii-_-X71846--_DSM_6159_T	6.8435943976315	0.17776
Acetivibrio_alkalicellulosi-_-AY959944--_Z-7026_T	6.8435943976315	0.17831
Acetivibrio_cellulolyticus-_-AEDB02000059--_CD2_T	6.8435943976315	0.17364
Acetivibrio_clariflavus-_-AB186359--_EBR45_T	6.8435943976315	0.21328
Acetivibrio_ethanolgignens-_-FR749897--_DSM_3005_T	5.84625096936802	0.19657
Acetivibrio_mesophilus-_-MK138666--_N2K1_T	6.8435943976315	0.16743
Acetivibrio_saccincola-_-LN868252--_GGR1_T	6.8435943976315	0.15591
Acetivibrio_straminisolvens-_-AB125279--_CSK1_T	6.8435943976315	0.16098
Acetivibrio_thermocellus-_-CP000568--_ATCC_27405_T	6.8435943976315	0.20268
Acetoanaerobium_noterae-_-GU562448--_ATCC_35199_T	6.65723907094443	0.28209
Acetoanaerobium_pronyense-_-KJ174056--_ST07-YE_T	6.65723907094443	0.25547
Acetoanaerobium_sticklandii-_-FP565809--_DSM_519_T	6.65723907094443	0.24157
Acetobacter_aceti-_-X74066--_NCIB8621-_DSM3508_T	6.93980902408875	0.1066
Acetobacter_cerevisiae-_-AJ419843--_LMG_1625_T	6.93980902408875	0.13622
Acetobacter_cibinongensis-_-AB681085--_NBRC_16605_T	6.93980902408875	0.14988
Acetobacter_conturbans-_-MN744433--_LMG_1627__T	6.93980902408875	0.10949
Acetobacter_estunensis-_-AJ419838--_LMG_1626_T	6.93980902408875	0.11019
Acetobacter_fabarum-_-AM905849--_R-36330=985=LMG_24244_T	6.93980902408875	0.10296
Acetobacter_fallax-_-MN744434--_LMG_1636__T	6.93980902408875	0.12684
Acetobacter_farinalis-_-AB602333--_G360-1_LTP__T	6.93980902408875	0.14484
Acetobacter_garciniae-_-MW680864--_MS16-SU-2T	6.93980902408875	0.1528
Acetobacter_ghanensis-_-EF030713--_430A_T	6.93980902408875	0.0979
Acetobacter_indonesiensis-_-AB681067--_NBRC_16471_T	6.93980902408875	0.13259
Acetobacter_lambici-_-HF969863--_LMG_27439_T	6.93980902408875	0.10439
Acetobacter_lovaniensis-_-AB032351--_NBRC_13753_-=_IFO_13753-_T	6.93980902408875	0.10583
Acetobacter_malorum-_-AJ419844--_LMG_1746_T	6.93980902408875	0.13765
Acetobacter_musti-_-HM162854--_Bo7_T	6.93980902408875	0.1189
Acetobacter_nitrogenifigens-_-AY669513--_RG1_T	6.93980902408875	0.12909
Acetobacter_oeni-_-AY829472--_B13_T	6.93980902408875	0.1218
Acetobacter_okinawensis-_-AB665068--_1-35_T	6.93980902408875	0.10367
Acetobacter_orientalis-_-AB681086--_NBRC_16606_T	6.93980902408875	0.13403
Acetobacter_orleanensis-_-AB032350--_NBRC_13752_-=_IFO_13752-_T	6.93980902408875	0.14125
Acetobacter_oryzifermentans-_-CP011120--_SLV-7_n_T	6.93980902408875	0.12177
Acetobacter_oryzoeni-_-MK367404--_B6_T	6.93980902408875	0.12105
Acetobacter_papayae-_-AB665066--_1-25_T	6.93980902408875	0.13278
Acetobacter_pasteurianus-_-GU205100--_LMG_1591_T	6.93980902408875	0.12178
Acetobacter_pasteurianus-_-X71863--_NBRC_106471_LTP__T	6.93980902408875	0.1225
Acetobacter_persici-_-AB665070--_T-120_T	6.93980902408875	0.13981
Acetobacter_pomorum-_-AJ419835--_LMG_18848_T	6.93980902408875	0.11744
Acetobacter_sacchari-_-LC103252--_VTH-Ai14_T	6.93980902408875	0.11821
Acetobacter_senegalensis-_-AY883036--_CWBI-B418_T	6.93980902408875	0.14147
Acetobacter_sicerae-_-AJ419840--_LMG_1531_T	6.93980902408875	0.10732
Acetobacter_suratthaniensis-_-AB937774--_BCC_26087_T	6.93980902408875	0.12928
Acetobacter_syzygii-_-AB681084--_NBRC_16604_T	6.93980902408875	0.09934
Acetobacter_thailandicus-_-AB937775--_BCC_15839_T	6.93980902408875	0.10512
Acetobacter_tropicalis-_-AB032355--_NRIC_0312_T	6.93980902408875	0.13473
Acetobacter_vaccinii-_-MN121517--_KACC21233_T	6.93980902408875	0.09936
Acetobacterium_bakii-_-X96960--_DSM_8239_T	6.56083969826971	0.28703
Acetobacterium_carbinolicum-_-X96956--_DSM_2925_T	6.56083969826971	0.283
Acetobacterium_fimetarium-_-X96959--_DSM_8238_T	6.56083969826971	0.2837
Acetobacterium_malicum-_-X96957--_DSM_4132_T	6.56083969826971	0.27874
Acetobacterium_paludosum-_-X96958--_DSM_8237_T	6.56083969826971	0.28995
Acetobacterium_tundrae-_-AJ297449--_DSM_9173_T	6.56083969826971	0.29776
Acetobacterium_wieringae-_-X96955--_DSM_1911_T	6.56083969826971	0.27226
Acetobacterium_woodii-_-CP002987--_DSM_1030_T	6.56083969826971	0.26022
Acetobacteroides_hydrogenigenes-_-AB611036--_RL-C_T	7.09372585044877	0.260841
Acetohalobium_arabaticum-_-CP002105--_DSM_5501_T	6.44477806546597	0.392451
Acetomicrobium_flavidum-_-FR733692--_DSM20664_T	7.05938092776941	0.00212
Acetomicrobium_hydrogeniformans-_-FJ862996--_OS1_T	7.05938092776941	0.04081
Acetomicrobium_thermoterrenum-_-U50711--_RWcit_T	7.05938092776941	0.04432
Acetonema_longum-_-AFGF01000106--_DSM_6540_T	6.87545963699059	0.130541
Acholeplasma_axanthum-_-AUAL01000024--_ATCC_25176_T	6.42556402848335	0.323051
Acholeplasma_brassicae-_-AY538163--_0502_T	6.42556402848335	0.299351
Acholeplasma_cavigenitalium-_-AY538164--_GP3_T	6.42556402848335	0.357831
Acholeplasma_equifetale-_-AY538165--_C112_T	6.42556402848335	0.348561
Acholeplasma_equirhinis-_-EU925159--_N93_T	6.42556402848335	0.353381
Acholeplasma_granularum-_-AY538166--_BTS-39_T	6.42556402848335	0.368191
Acholeplasma_hippikon-_-AY538167--_C1_T	6.42556402848335	0.352851
Acholeplasma_laidlawii-_-AB680603--_NBRC_14400_T	6.42556402848335	0.367411
Acholeplasma_modicum-_-M23933--_PG_49-_ATCC_29102_T	6.42556402848335	0.332501
Acholeplasma_morum-_-AY538168--_72-043_T	6.42556402848335	0.306661
Acholeplasma_multilocale-_-FJ595100--_ATCC_49900_T	6.42556402848335	0.394071
Acholeplasma_oculi-_-U14904--_19L_ATCC_27350_T	6.42556402848335	0.377321
Acholeplasma_palmae-_-FO681347--_J233_T	6.42556402848335	0.283731
Acholeplasma_parvum-_-AY538170--_H23M_T	6.42556402848335	0.295871
Acholeplasma_pleciae-_-AB681174--_NBRC_100476_T	6.42556402848335	0.371691
Acholeplasma_vituli-_-AF031479--_FC-097_T	6.42556402848335	0.324411
Achromobacter_aegrifaciens-_-HF586507--_LMG_26852_T	7.46210799130639	0.08332
Achromobacter_agilis-_-HG324050--_LMG_3411_T	7.46210799130639	0.07283
Achromobacter_aloeverae-_-LC094463--_AVA-1_T	7.46210799130639	0.05897
Achromobacter_animicus-_-HE613448--_R-46662_T	7.46210799130639	0.07632
Achromobacter_anxifer-_-HF586508--_LMG_26857_T	7.46210799130639	0.07284
Achromobacter_deleyi-_-HG324053--_LMG_3458_T	7.46210799130639	0.07983
Achromobacter_denitrificans-_-AJ278451--_DSM_30026_-T-_T	7.46210799130639	0.07283
Achromobacter_dolens-_-HF586509--_LMG_26840_T	7.46210799130639	0.07284
Achromobacter_insolitus-_-AY170847--_LMG_6003_T	7.46210799130639	0.07912
Achromobacter_insuavis-_-HF586506--_LMG_26845_T	7.46210799130639	0.07983
Achromobacter_kerstersii-_-HG324052--_LMG_3441_T	7.46210799130639	0.07983
Achromobacter_marplatensis-_-HE613447--_R-46660_T	7.46210799130639	0.08682
Achromobacter_mucicolens-_-HE613446--_R-46658_T	7.46210799130639	0.07842
Achromobacter_pestifer-_-HG324051--_LMG_3431_T	7.46210799130639	0.08192
Achromobacter_piechaudii-_-AB010841--_EY3860_=_ATCC43552_T	7.46210799130639	0.08363
Achromobacter_pulmonis-_-HE798552--_R-16442_T	7.46210799130639	0.07352
Achromobacter_ruhlandii-_-AB010840--_EY3918_=_ATCC15749_T	7.46210799130639	0.07908
Achromobacter_spanius-_-AY170848--_LMG_5911_T	7.46210799130639	0.07983
Achromobacter_veterisilvae-_-LT976503--_LMG_30378_T	7.46210799130639	0.06932
Achromobacter_xylosoxidans-_-Y14908--_DSM_10346_T	7.46210799130639	0.07562
Acidaminobacter_hydrogenoformans-_-AF016691--_glu_65_T	6.65723907094443	0.228601
Acidaminococcus_fermentans-_-CP001859--_DSM_20731_T	6.61201277000475	0.221681
Acidaminococcus_hominis-_-OL617415--_NSJ-142T	6.61201277000475	0.200181
Acidaminococcus_intestini-_-AF473835--_ADV_255.99_T	6.61201277000475	0.201221
Acidianus_ambivalens-_-D85506--_DSM3772_T	6.43127975808516	0.24979
Acidianus_brierleyi-_-X90477--_DSM_1651_T	6.43127975808516	0.29838
Acidianus_infernus-_-D85505--_DSM3191_T	6.43127975808516	0.24834
Acidianus_sulfidivorans-_-AY907891--_JP7_T	6.43127975808516	0.27924
Acidibacter_ferrireducens-_-JX412366--_MCF85_T	7.08624702801603	0.198451
Acidibrevibacterium_fodinaquatile-_-KY777995--_G45-3_T	6.93980902408875	0.149321
Acidicaldus_organivorans-_-AY140238--_Y008_T	6.93980902408875	0.193571
Acidicapsa_acidiphila-_-KF017280--_MCF10_T	6.44477806546597	0.44911
Acidicapsa_acidisoli-_-LC027464--_SK-11_T	6.44477806546597	0.4413
Acidicapsa_borealis-_-FR774763--_KA1_=_DSM_23886_T	6.44477806546597	0.44605
Acidicapsa_dinghuensis-_-MF150300--_4GSKX_T	6.44477806546597	0.43056
Acidicapsa_ferrireducens-_-KC662255--_MCF9_T	6.44477806546597	0.44501
Acidicapsa_ligni-_-EU780204--_WH120_T	6.44477806546597	0.44329
Acididesulfobacillus_acetoxydans-_-NR_184592--_INE_/type_materialtype_strain_of_AcididesulfobacillusacetoxydansT	6.61201277000475	0.345021
Acidiferrimicrobium_australe-_-MF503098--_USS-CCA1_T	7.16466891283604	0.207651
Acidiferrobacter_thiooxydans-_-AF387301--_m-1-_DSM_2392_T	7.08624702801603	0.209471
Acidihalobacter_aeolianus-_-CP017448--_V6_T	6.96013576836952	0.15283
Acidihalobacter_ferrooxydans-_-CP019434--_V8_n_T	6.96013576836952	0.17224
Acidihalobacter_yilgarnensis-_-JQSG02000006--_DSM_5130_T	6.96013576836952	0.15915
Acidilobus_aceticus-_-AF191225--_Z-1904_T	6.43127975808516	0.20933
Acidilobus_saccharovorans-_-CP001742--_345-15_T	6.43127975808516	0.20474
Acidiluteibacter_ferrifornacis-_-MN240441--_S-15_T	7.09372585044877	0.284871
Acidilutibacter_cellobiosedens-_-MN389521--_JN-28T	6.77861118366579	0.270661
Acidimangrovimonas_pyrenivorans-_-MF774691--_PrR001_T	7.02841499747641	0.24904
Acidimangrovimonas_sediminis-_-KX099618--_MS2-2_T	7.02841499747641	0.2351
Acidimicrobium_ferrooxidans-_-CP001631--_DSM_10331_T	7.16466891283604	0.231201
Acidiphilium_acidophilum-_-D86511--_ATCC27807_T	6.93980902408875	0.21877
Acidiphilium_angustum-_-D30772--_ATCC_35903_T	6.93980902408875	0.21382
Acidiphilium_cryptum-_-D30773--_ATCC_33463_T	6.93980902408875	0.18261
Acidiphilium_iwatense-_-AB561883--_MS8_T	6.93980902408875	0.2036
Acidiphilium_multivorum-_-AB006711--_AIU_301_T	6.93980902408875	0.18332
Acidiphilium_organovorum-_-D30775--_ATCC_43141_T	6.93980902408875	0.18476
Acidiphilium_rubrum-_-D30776--_ATCC_35905_T	6.93980902408875	0.21382
Acidipila_rosea-_-AB561884--_AP8_T	6.44477806546597	0.499931
Acidiplasma_aeolicum-_-AM943980--_DSM_18409_=_JCM_14615_T	6.57079116659947	0.53157
Acidiplasma_cupricumulans-_-AY907888--_BH2_T	6.57079116659947	0.53153
Acidipropionibacterium_acidipropionici-_-AJ704570--_NCFB_570_T	7.56351644798601	0.10762
Acidipropionibacterium_damnosum-_-JQ283461--_IGBL13_T	7.56351644798601	0.1165
Acidipropionibacterium_jensenii-_-AJ704571--_DSM_20535_T	7.56351644798601	0.11732
Acidipropionibacterium_microaerophilum-_-AF234623--_M5_T	7.56351644798601	0.11441
Acidipropionibacterium_olivae-_-JQ283460--_IGBL1_T	7.56351644798601	0.11506
Acidipropionibacterium_thoenii-_-AJ704572--_NCFB_568_T	7.56351644798601	0.11867
Acidipropionibacterium_virtanenii-_-MG596783--_JS278_T	7.56351644798601	0.099
Acidisarcina_polymorpha-_-MH396772--_SBC82T	6.44477806546597	0.505351
Acidisoma_cellulosilyticum-_-MW463051--_HW_T5.17_T	6.93980902408875	0.17832
Acidisoma_sibiricum-_-AM947653--_TPB606_T	6.93980902408875	0.17516
Acidisoma_silvae-_-MW463052--_HW_T2.11_T	6.93980902408875	0.16785
Acidisoma_tundrae-_-AM947652--_WM1_T	6.93980902408875	0.16943
Acidisphaera_rubrifaciens-_-D86512--_HS-AP3_T	6.93980902408875	0.135671
