sequence	trait1	metadata_NSTI
Abditibacterium_utsteinense-_-KY386500--_R-68213_T	3713215.05417786	0.491901
Abiotrophia_defectiva-_-D50541--_GIFU12707_-ATCC49176-_T	2681963.09543414	0.136121
Absicoccus_porci-_-MG931004--_YH-PanP20_T	2280885.38192892	0.268602
Abyssalbus_ytuae-_-ON495953--_MT3330T	3736933.10412303	0.200271
Abyssibacter_profundi-_-KY612316--_OUC007_T	3623669.30884847	0.171362
Abyssibius_alkaniclasticus-_-OK489460--_960558T	3954646.33120309	0.167731
Abyssicoccus_albus-_-KT935587--_LIPI11-2-Ac043_T	2989733.12063046	0.1284
Abyssivirga_alkaniphila-_-KP233895--_L81_T	3819292.86866211	0.193421
Acanthopleuribacter_pedis-_-AB303221--_NBRC_101209_T	4854327.74164368	0.279562
Acaricomes_phytoseiuli-_-AQXM01000028--_DSM_14247_T	3987015.09929537	0.082271
Acerihabitans_arboris-_-MN737198--_SAP-6_T	4781589.91506128	0.049111
Acetanaerobacterium_elongatum-_-AY487928--_Z7_T	3588234.62304864	0.225662
Acetatifactor_muris-_-HM989805--_CT-m2_T	4014777.81427744	0.194671
Acetilactobacillus_jinshanensis-_-KT783533--_HSLZ-75_T	2546948.25086674	0.173541
Acetitomaculum_ruminis-_-M59083--_139B-_ATCC_43876_T	4014777.81427744	0.187351
Acetivibrio_aldrichii-_-X71846--_DSM_6159_T	3965268.87661685	0.1363
Acetivibrio_alkalicellulosi-_-AY959944--_Z-7026_T	3965268.87661685	0.11955
Acetivibrio_cellulolyticus-_-AEDB02000059--_CD2_T	3965268.87661685	0.13218
Acetivibrio_ethanolgignens-_-FR749897--_DSM_3005_T	3710077.06343515	0.14747
Acetivibrio_mesophilus-_-MK138666--_N2K1_T	3965268.87661685	0.08063
Acetivibrio_saccincola-_-LN868252--_GGR1_T	3676675.56574867	0.13315
Acetivibrio_straminisolvens-_-AB125279--_CSK1_T	3965268.87661685	0.05718
Acetoanaerobium_noterae-_-GU562448--_ATCC_35199_T	3778654.73102935	0.20681
Acetoanaerobium_pronyense-_-KJ174056--_ST07-YE_T	3778654.73102935	0.18019
Acetoanaerobium_sticklandii-_-FP565809--_DSM_519_T	3778654.73102935	0.16629
Acetobacter_aceti-_-X74066--_NCIB8621-_DSM3508_T	3472259.39801688	0.04641
Acetobacter_cerevisiae-_-AJ419843--_LMG_1625_T	3472259.39801688	0.02981
Acetobacter_cibinongensis-_-AB681085--_NBRC_16605_T	3472259.39801688	0.02043
Acetobacter_conturbans-_-MN744433--_LMG_1627__T	3472259.39801688	0.0493
Acetobacter_estunensis-_-AJ419838--_LMG_1626_T	3472259.39801688	0.05784
Acetobacter_fabarum-_-AM905849--_R-36330=985=LMG_24244_T	3472259.39801688	0.03903
Acetobacter_fallax-_-MN744434--_LMG_1636__T	3472259.39801688	0.04927
Acetobacter_farinalis-_-AB602333--_G360-1_LTP__T	3472259.39801688	0.03843
Acetobacter_garciniae-_-MW680864--_MS16-SU-2T	3472259.39801688	0.02335
Acetobacter_ghanensis-_-EF030713--_430A_T	3472259.39801688	0.03397
Acetobacter_indonesiensis-_-AB681067--_NBRC_16471_T	3472259.39801688	0.02618
Acetobacter_lambici-_-HF969863--_LMG_27439_T	3472259.39801688	0.04046
Acetobacter_lovaniensis-_-AB032351--_NBRC_13753_-=_IFO_13753-_T	3472259.39801688	0.0419
Acetobacter_malorum-_-AJ419844--_LMG_1746_T	3472259.39801688	0.03124
Acetobacter_musti-_-HM162854--_Bo7_T	3472259.39801688	0.04133
Acetobacter_nitrogenifigens-_-AY669513--_RG1_T	3472259.39801688	0.066
Acetobacter_oeni-_-AY829472--_B13_T	3472259.39801688	0.04423
Acetobacter_okinawensis-_-AB665068--_1-35_T	3472259.39801688	0.03974
Acetobacter_orientalis-_-AB681086--_NBRC_16606_T	3472259.39801688	0.02762
Acetobacter_orleanensis-_-AB032350--_NBRC_13752_-=_IFO_13752-_T	3472259.39801688	0.03484
Acetobacter_oryzoeni-_-MK367404--_B6_T	3472259.39801688	0.00216
Acetobacter_papayae-_-AB665066--_1-25_T	3472259.39801688	0.05719
Acetobacter_pasteurianus-_-GU205100--_LMG_1591_T	3472259.39801688	0.00577
Acetobacter_pasteurianus-_-X71863--_NBRC_106471_LTP__T	3472259.39801688	0.00649
Acetobacter_persici-_-AB665070--_T-120_T	3472259.39801688	0.0334
Acetobacter_pomorum-_-AJ419835--_LMG_18848_T	3472259.39801688	0.00721
Acetobacter_sacchari-_-LC103252--_VTH-Ai14_T	3472259.39801688	0.05512
Acetobacter_sicerae-_-AJ419840--_LMG_1531_T	3472259.39801688	0.04713
Acetobacter_suratthaniensis-_-AB937774--_BCC_26087_T	3472259.39801688	0.05369
Acetobacter_syzygii-_-AB681084--_NBRC_16604_T	3472259.39801688	0.03541
Acetobacter_thailandicus-_-AB937775--_BCC_15839_T	3472259.39801688	0.05277
Acetobacter_tropicalis-_-AB032355--_NRIC_0312_T	3472259.39801688	0.00818
Acetobacter_vaccinii-_-MN121517--_KACC21233_T	3472259.39801688	0.03253
Acetobacterium_bakii-_-X96960--_DSM_8239_T	3612710.78101551	0.06639
Acetobacterium_carbinolicum-_-X96956--_DSM_2925_T	3612710.78101551	0.04108
Acetobacterium_fimetarium-_-X96959--_DSM_8238_T	3612710.78101551	0.04178
Acetobacterium_malicum-_-X96957--_DSM_4132_T	3612710.78101551	0.03682
Acetobacterium_paludosum-_-X96958--_DSM_8237_T	3612710.78101551	0.06931
Acetobacterium_tundrae-_-AJ297449--_DSM_9173_T	3612710.78101551	0.07712
Acetobacterium_wieringae-_-X96955--_DSM_1911_T	3612710.78101551	0.03034
Acetobacteroides_hydrogenigenes-_-AB611036--_RL-C_T	4310293.57811827	0.230861
Acetomicrobium_flavidum-_-FR733692--_DSM20664_T	2314530.20657113	0.196811
Acetomicrobium_hydrogeniformans-_-FJ862996--_OS1_T	2314530.20657113	0.201741
Acetomicrobium_mobile-_-AB910748--_JCM_12221_T	2314530.20657113	0.194711
Acetomicrobium_thermoterrenum-_-U50711--_RWcit_T	2314530.20657113	0.205251
Acetonema_longum-_-AFGF01000106--_DSM_6540_T	2646417.75772265	0.211221
Acholeplasma_axanthum-_-AUAL01000024--_ATCC_25176_T	2157253.01914993	0.13634
Acholeplasma_brassicae-_-AY538163--_0502_T	1769902.18084576	0.10976
Acholeplasma_cavigenitalium-_-AY538164--_GP3_T	2157253.01914993	0.17112
Acholeplasma_equifetale-_-AY538165--_C112_T	1769902.18084576	0.09946
Acholeplasma_equirhinis-_-EU925159--_N93_T	1769902.18084576	0.10428
Acholeplasma_granularum-_-AY538166--_BTS-39_T	1769902.18084576	0.08979
Acholeplasma_hippikon-_-AY538167--_C1_T	1769902.18084576	0.10375
Acholeplasma_laidlawii-_-AB680603--_NBRC_14400_T	1769902.18084576	0.08901
Acholeplasma_modicum-_-M23933--_PG_49-_ATCC_29102_T	2157253.01914993	0.14579
Acholeplasma_morum-_-AY538168--_72-043_T	1769902.18084576	0.11707
Acholeplasma_multilocale-_-FJ595100--_ATCC_49900_T	986514.580693579	0.08634
Acholeplasma_parvum-_-AY538170--_H23M_T	1769902.18084576	0.07158
Acholeplasma_pleciae-_-AB681174--_NBRC_100476_T	1769902.18084576	0.09329
Acholeplasma_vituli-_-AF031479--_FC-097_T	1769902.18084576	0.13482
Achromobacter_aegrifaciens-_-HF586507--_LMG_26852_T	6667707.56358015	0.0084
Achromobacter_agilis-_-HG324050--_LMG_3411_T	6285821.89056375	0.0028
