sequence	trait1	metadata_NSTI
Abditibacterium_utsteinense-_-KY386500--_R-68213_T	0.715342876400159	0.373642
Abiotrophia_defectiva-_-D50541--_GIFU12707_-ATCC49176-_T	0.73279754625663	0.103502
Absicoccus_porci-_-MG931004--_YH-PanP20_T	0.423241111486605	0.268722
Abyssalbus_ytuae-_-ON495953--_MT3330T	0.345788356332725	0.115512
Abyssibacter_profundi-_-KY612316--_OUC007_T	0.502488099822515	0.128292
Abyssibius_alkaniclasticus-_-OK489460--_960558T	0.962766117428202	0.082202
Abyssicoccus_albus-_-KT935587--_LIPI11-2-Ac043_T	0.525895003932122	0.093981
Abyssivirga_alkaniphila-_-KP233895--_L81_T	0.517202962375654	0.119112
Acanthopleuribacter_pedis-_-AB303221--_NBRC_101209_T	0.499344293505527	2e-06
Acaricomes_phytoseiuli-_-AQXM01000028--_DSM_14247_T	0.6576784385495	0.102012
Acerihabitans_arboris-_-MN737198--_SAP-6_T	0.804276678700979	0.097452
Acetanaerobacterium_elongatum-_-AY487928--_Z7_T	0.554319731815221	2e-06
Acetatifactor_muris-_-HM989805--_CT-m2_T	0.449704201717945	0.142322
Acetilactobacillus_jinshanensis-_-KT783533--_HSLZ-75_T	0.664723035603608	0.284862
Acetitomaculum_ruminis-_-M59083--_139B-_ATCC_43876_T	0.449704201717945	2e-06
Acetivibrio_aldrichii-_-X71846--_DSM_6159_T	0.757865277409088	0.197771
Acetivibrio_alkalicellulosi-_-AY959944--_Z-7026_T	0.757865277409088	0.181021
Acetivibrio_cellulolyticus-_-AEDB02000059--_CD2_T	0.757865277409088	0.193651
Acetivibrio_clariflavus-_-AB186359--_EBR45_T	0.757865277409088	0.212151
Acetivibrio_ethanolgignens-_-FR749897--_DSM_3005_T	0.517202962375654	0.118441
Acetivibrio_mesophilus-_-MK138666--_N2K1_T	0.757865277409088	0.166301
Acetivibrio_saccincola-_-LN868252--_GGR1_T	0.757865277409088	0.154781
Acetivibrio_straminisolvens-_-AB125279--_CSK1_T	0.757865277409088	0.159851
Acetivibrio_thermocellus-_-CP000568--_ATCC_27405_T	0.757865277409088	0.201551
Acetoanaerobium_noterae-_-GU562448--_ATCC_35199_T	0.660362092762632	0.141701
Acetoanaerobium_pronyense-_-KJ174056--_ST07-YE_T	0.660362092762632	0.115081
Acetoanaerobium_sticklandii-_-FP565809--_DSM_519_T	0.660362092762632	0.101181
Acetobacter_aceti-_-X74066--_NCIB8621-_DSM3508_T	0.600249895175145	0.019541
Acetobacter_cerevisiae-_-AJ419843--_LMG_1625_T	0.600249895175145	0.049161
Acetobacter_cibinongensis-_-AB681085--_NBRC_16605_T	0.600249895175145	0.062821
Acetobacter_conturbans-_-MN744433--_LMG_1627__T	0.600249895175145	0.022431
Acetobacter_estunensis-_-AJ419838--_LMG_1626_T	0.600249895175145	0.023131
Acetobacter_fabarum-_-AM905849--_R-36330=985=LMG_24244_T	0.600249895175145	0.015901
Acetobacter_fallax-_-MN744434--_LMG_1636__T	0.600249895175145	0.039781
Acetobacter_farinalis-_-AB602333--_G360-1_LTP__T	0.600249895175145	0.057781
Acetobacter_garciniae-_-MW680864--_MS16-SU-2T	0.600249895175145	0.065741
Acetobacter_ghanensis-_-EF030713--_430A_T	0.600249895175145	0.010841
Acetobacter_indonesiensis-_-AB681067--_NBRC_16471_T	0.600249895175145	0.045531
Acetobacter_lambici-_-HF969863--_LMG_27439_T	0.600249895175145	0.017331
Acetobacter_lovaniensis-_-AB032351--_NBRC_13753_-=_IFO_13753-_T	0.600249895175145	0.018771
Acetobacter_malorum-_-AJ419844--_LMG_1746_T	0.600249895175145	0.050591
Acetobacter_musti-_-HM162854--_Bo7_T	0.600249895175145	0.031841
Acetobacter_nitrogenifigens-_-AY669513--_RG1_T	0.600249895175145	0.042031
Acetobacter_oeni-_-AY829472--_B13_T	0.600249895175145	0.034741
Acetobacter_okinawensis-_-AB665068--_1-35_T	0.600249895175145	0.016611
Acetobacter_orientalis-_-AB681086--_NBRC_16606_T	0.600249895175145	0.046971
Acetobacter_orleanensis-_-AB032350--_NBRC_13752_-=_IFO_13752-_T	0.600249895175145	0.054191
Acetobacter_oryzifermentans-_-CP011120--_SLV-7_n_T	0.600249895175145	0.034711
Acetobacter_oryzoeni-_-MK367404--_B6_T	0.600249895175145	0.033991
Acetobacter_papayae-_-AB665066--_1-25_T	0.600249895175145	0.045721
Acetobacter_pasteurianus-_-GU205100--_LMG_1591_T	0.600249895175145	0.034721
Acetobacter_pasteurianus-_-X71863--_NBRC_106471_LTP__T	0.600249895175145	0.035441
Acetobacter_persici-_-AB665070--_T-120_T	0.600249895175145	0.052751
Acetobacter_pomorum-_-AJ419835--_LMG_18848_T	0.600249895175145	0.030381
Acetobacter_sacchari-_-LC103252--_VTH-Ai14_T	0.600249895175145	0.031151
Acetobacter_senegalensis-_-AY883036--_CWBI-B418_T	0.600249895175145	0.054411
Acetobacter_sicerae-_-AJ419840--_LMG_1531_T	0.600249895175145	0.020261
Acetobacter_suratthaniensis-_-AB937774--_BCC_26087_T	0.600249895175145	0.042221
Acetobacter_syzygii-_-AB681084--_NBRC_16604_T	0.600249895175145	0.012281
Acetobacter_thailandicus-_-AB937775--_BCC_15839_T	0.600249895175145	0.018061
Acetobacter_tropicalis-_-AB032355--_NRIC_0312_T	0.600249895175145	0.047671
Acetobacter_vaccinii-_-MN121517--_KACC21233_T	0.600249895175145	0.012301
Acetobacterium_bakii-_-X96960--_DSM_8239_T	0.739701170355546	0.176691
Acetobacterium_carbinolicum-_-X96956--_DSM_2925_T	0.739701170355546	0.172661
Acetobacterium_fimetarium-_-X96959--_DSM_8238_T	0.739701170355546	0.173361
Acetobacterium_malicum-_-X96957--_DSM_4132_T	0.739701170355546	0.168401
Acetobacterium_paludosum-_-X96958--_DSM_8237_T	0.739701170355546	0.179611
Acetobacterium_tundrae-_-AJ297449--_DSM_9173_T	0.739701170355546	0.187421
Acetobacterium_wieringae-_-X96955--_DSM_1911_T	0.739701170355546	0.161921
Acetobacterium_woodii-_-CP002987--_DSM_1030_T	0.739701170355546	0.149881
Acetobacteroides_hydrogenigenes-_-AB611036--_RL-C_T	0.444072236596899	0.194392
Acetohalobium_arabaticum-_-CP002105--_DSM_5501_T	0.569345124663082	0.218482
Acetomicrobium_flavidum-_-FR733692--_DSM20664_T	0.592700084010885	0.018991
Acetomicrobium_hydrogeniformans-_-FJ862996--_OS1_T	0.592700084010885	0.023921
Acetomicrobium_mobile-_-AB910748--_JCM_12221_T	0.592700084010885	0.016891
Acetomicrobium_thermoterrenum-_-U50711--_RWcit_T	0.592700084010885	0.027431
Acetonema_longum-_-AFGF01000106--_DSM_6540_T	0.490514559888136	2e-06
Acholeplasma_axanthum-_-AUAL01000024--_ATCC_25176_T	0.423241111486605	0.165821
Acholeplasma_brassicae-_-AY538163--_0502_T	0.423241111486605	0.127541
Acholeplasma_cavigenitalium-_-AY538164--_GP3_T	0.423241111486605	0.200601
Acholeplasma_equifetale-_-AY538165--_C112_T	0.423241111486605	0.035351
Acholeplasma_equirhinis-_-EU925159--_N93_T	0.423241111486605	0.040171
Acholeplasma_granularum-_-AY538166--_BTS-39_T	0.423241111486605	0.054981
Acholeplasma_hippikon-_-AY538167--_C1_T	0.423241111486605	0.039641
Acholeplasma_laidlawii-_-AB680603--_NBRC_14400_T	0.423241111486605	0.054201
Acholeplasma_modicum-_-M23933--_PG_49-_ATCC_29102_T	0.423241111486605	0.175271
Acholeplasma_morum-_-AY538168--_72-043_T	0.423241111486605	0.134851
Acholeplasma_multilocale-_-FJ595100--_ATCC_49900_T	0.57374086843903	0.344491
Acholeplasma_oculi-_-U14904--_19L_ATCC_27350_T	0.423241111486605	0.064111
Acholeplasma_palmae-_-FO681347--_J233_T	0.423241111486605	0.123621
Acholeplasma_parvum-_-AY538170--_H23M_T	0.423241111486605	0.135761
Acholeplasma_pleciae-_-AB681174--_NBRC_100476_T	0.423241111486605	0.058481
Acholeplasma_vituli-_-AF031479--_FC-097_T	0.423241111486605	0.152601
Achromobacter_aegrifaciens-_-HF586507--_LMG_26852_T	0.200122957278198	0.030091
Achromobacter_agilis-_-HG324050--_LMG_3411_T	0.200122957278198	0.019601
Achromobacter_aloeverae-_-LC094463--_AVA-1_T	0.200122957278198	0.005741
Achromobacter_animicus-_-HE613448--_R-46662_T	0.200122957278198	0.023091
Achromobacter_anxifer-_-HF586508--_LMG_26857_T	0.200122957278198	0.019611
Achromobacter_deleyi-_-HG324053--_LMG_3458_T	0.200122957278198	0.026601
Achromobacter_denitrificans-_-AJ278451--_DSM_30026_-T-_T	0.200122957278198	0.019601
Achromobacter_dolens-_-HF586509--_LMG_26840_T	0.200122957278198	0.019611
Achromobacter_insolitus-_-AY170847--_LMG_6003_T	0.200122957278198	0.025891
Achromobacter_insuavis-_-HF586506--_LMG_26845_T	0.200122957278198	0.026601
Achromobacter_kerstersii-_-HG324052--_LMG_3441_T	0.200122957278198	0.026601
Achromobacter_marplatensis-_-HE613447--_R-46660_T	0.200122957278198	0.033591
Achromobacter_mucicolens-_-HE613446--_R-46658_T	0.200122957278198	0.025191
Achromobacter_pestifer-_-HG324051--_LMG_3431_T	0.200122957278198	0.028691
Achromobacter_piechaudii-_-AB010841--_EY3860_=_ATCC43552_T	0.200122957278198	0.030401
